label	correctans	note	duration2
14956811_100HaMvM	pole	1_	0.66396875
14956811_102LaNMvM	prize	1_	0.693894886
14956811_103LaNMvM	raft	1_	0.833680288
14956811_104LaNMvNM	rent	1_	0.699420573
14956811_105HaMvM	rim	1_	0.634107917
14956811_107LaMvNM	rope	0_it ends with a click	0.952937859
14956811_108LaNMvM	row	1_	0.810077083
14956811_109LaNMvNM	sand	1_	0.719002841
14956811_10HaNMvM	bowl	1_	0.825733173
14956811_111LaMvNM	seeds	1_	0.944402063
14956811_112HaNMvNM	shed	1_	0.56378125
14956811_113LaMvM	sheep	1_	1.024454861
14956811_114HaMvNM	silk	1_	0.878210937
14956811_115HaNMvM	skirt	1_	0.642551215
14956811_116HaNMvNM	sleeves	1_	0.555554167
14956811_117LaMvM	slice	1_	0.718114583
14956811_118HaMvNM	sling	1_	0.674458882
14956811_119HaNMvM	splash	1_	0.655691964
14956811_120HaNMvNM	sponge	1_	0.528913773
14956811_121LaMvM	spool	0_'spoold'	0.758672033
14956811_122HaMvNM	spoon	1_	0.612517361
14956811_123HaNMvM	sport	1_	0.679579545
14956811_124HaNMvNM	spray	1_	0.622191506
14956811_126LaMvM	strap	1_	0.84678125
14956811_127HaMvNM	swamps	1_	0.964357639
14956811_128HaNMvM	swan	1_	0.879052083
14956811_129LaNMvM	tea	1_	0.751206189
14956811_12HaNMvNM	bread	1_	0.626459754
14956811_130LaNMvNM	tent	1_	0.628126157
14956811_131HaMvM	thief	1_	0.665914435
14956811_132LaMvNM	thorns	1_	0.5436
14956811_133LaNMvM	throat	1_	0.749840876
14956811_134LaNMvNM	tin	0_too quite to be heard	0.669423295
14956811_136HaMvM	trail	1_	0.65421379
14956811_137LaMvNM	trap	1_	0.603054861
14956811_138LaNMvM	truck	1_	0.752410417
14956811_139LaNMvNM	tub	1_	0.688102773
14956811_13HaMvM	breath	1_	0.835729167
14956811_140HaMvM	van	1_	0.729385417
14956811_141LaMvNM	wax	1_	0.866924769
14956811_14LaMvM	broom	1_	0.792920956
14956811_15HaMvNM	bruise	1_	1.106603851
14956811_16HaNMvM	cake	0_do not think she said anything	0.697637731
14956811_17LaNMvM	calf	1_	0.800547794
14956811_19LaNMvNM	chat	1_	0.545927083
14956811_20HaMvM	chunks	1_	0.865851562
14956811_21LaMvNM	clerk	0_'cars'_	0.659377083
14956811_22LaNMvM	cliff	1_	0.779752193
14956811_23LaNMvNM	clock	1_	0.684103554
14956811_24HaMvM	clue	1_	0.820839015
14956811_25LaMvNM	coach	1_	0.69698327
14956811_26LaNMvM	coast	1_	0.734987428
14956811_27LaNMvNM	coin	1_	0.706296131
14956811_28HaMvM	cops	1_	0.858064471
14956811_29LaMvNM	crash	1_	0.76209375
14956811_2HaNMvNM	barn	1_	0.693802083
14956811_30LaNMvM	crew	1_	0.69139125
14956811_31LaNMvNM	crib	1_	0.819664062
14956811_32HaMvM	crop	1_	0.960288194
14956811_33LaMvNM	crown	1_	0.867034722
14956811_35HaNMvNM	curb	1_	0.810375947
14956811_36LaMvM	dart	1_	0.925377193
14956811_37HaMvNM	deck	1_	0.908185764
14956811_38HaNMvM	den	1_	0.80446875
14956811_39HaNMvNM	dent	1_	0.646356591
14956811_3LaMvM	bay	0_sounds like 'boy'	1.056661058
14956811_40LaMvM	ditch	1_	0.900111642
14956811_41HaMvNM	dive	1_	0.720519022
14956811_42HaNMvM	doll	1_	0.875334187
14956811_43HaNMvNM	dove	1_	0.950820724
14956811_44LaNMvNM	draft	1_	0.72562357
14956811_45HaMvNM	drain	1_	0.743494792
14956811_46LaMvM	drug	1_	0.796100694
14956811_47HaMvNM	drum	1_	0.680893863
14956811_48LaNMvM	feast	0_self-correction	0.598224702
14956811_4HaMvNM	beak	1_	0.698820536
14956811_50HaNMvM	flame	1_	0.71540625
14956811_51HaNMvNM	flock	1_	0.580673051
14956811_52HaMvNM	flood	1_	0.651820602
14956811_53LaMvM	frogs	1_	0.74225744
14956811_54LaMvNM	fudge	1_	0.509495756
14956811_55HaNMvNM	fur	1_	0.569092147
14956811_57HaMvNM	glue	0_sounds like Alice's recording rather than the participant	0.586907738
14956811_58HaNMvM	goal	0_cannot hear	0.577989583
14956811_59LaNMvM	gown	1_	0.716222917
14956811_5HaNMvM	beam	1_	0.794002083
14956811_60LaNMvNM	grin	1_	0.72929591
14956811_61HaMvM	growl	1_	0.706673692
14956811_62LaMvNM	hay	1_	0.591208882
14956811_63LaNMvM	hedge	1_	0.665977083
14956811_64LaNMvNM	hen	1_	0.529009073
14956811_65HaMvM	herd	1_	0.669167708
14956811_66LaMvNM	hint	1_	0.702129006
14956811_67LaNMvM	hips	1_	0.642208333
14956811_68LaNMvNM	hive	1_	0.753460937
14956811_69HaMvM	host	1_	0.717070076
14956811_70LaMvNM	hug	1_	0.725760417
14956811_71LaNMvM	jar	1_	0.625505208
14956811_72LaNMvNM	juice	1_	0.679940972
14956811_73HaMvM	junk	1_	0.783695139
14956811_74LaMvNM	kick	0_cannot hear	0.856009115
14956811_75HaNMvNM	knife	1_	0.648529861
14956811_76LaMvM	knob	1_	0.785789583
14956811_78HaMvNM	lap	1_	0.766197917
14956811_79HaNMvM	lid	0_double 'l'	0.7040625
14956811_7HaNMvNM	bend	1_	0.84505318
14956811_80HaNMvNM	lock	1_	0.750356399
14956811_81LaMvM	logs	1_	1.093998789
14956811_83HaNMvM	map	1_	0.83876777
14956811_85HaNMvNM	mat	1_	0.667857917
14956811_86LaMvM	meal	1_	0.99516569
14956811_87HaMvNM	mop	1_	0.83796875
14956811_88HaNMvM	mouse	1_	0.627734375
14956811_89HaNMvNM	mug	1_	0.70705
14956811_8LaMvM	blame	0_Is there a devoicing of 'b'?	0.721119792
14956811_90LaMvM	net	1_	0.706940972
14956811_91HaMvNM	notch	1_	0.928967448
14956811_93HaNMvM	pad	1_	0.595364583
14956811_94LaNMvM	pet	1_	0.777958129
14956811_96HaMvM	pile	1_	0.902767361
14956811_97LaMvNM	pill	1_	0.724971657
14956811_98LaNMvM	pine	1_	0.680400568
14956811_99LaNMvNM	plot	1_	0.5967625
14956811_9HaMvNM	blast	0_'dust'	0.777948611
