label	timetype	timepoint
14990368_100LaNMvM	b	1.9173966847418427
14990368_100LaNMvM	rstart	4.171594975490197
14990368_101LaMvM	b	13.606663505228873
14990368_101LaMvM	rstart	16.387176215277776
14990368_102LaNMvM	b	19.845779900710475
14990368_102LaNMvM	rstart	22.368532407407404
14990368_103LaMvNM	b	27.223980709198642
14990368_103LaMvNM	rstart	29.78519560185185
14990368_104LaMvM	b	39.653078002117454
14990368_104LaMvM	rstart	42.292728851010104
14990368_105LaNMvM	b	48.22889981413127
14990368_105LaNMvM	rstart	51.27997269144144
14990368_107HaNMvNM	b	54.31048621504152
14990368_107HaNMvNM	rstart	56.83536344884488
14990368_108LaMvNM	b	66.37314043195217
14990368_108LaMvNM	rstart	69.03587491925065
14990368_109LaMvM	b	76.478341059173
14990368_109LaMvM	rstart	79.0312150462963
14990368_10HaMvNM	b	85.18860667828113
14990368_10HaMvNM	rstart	87.83942052469136
14990368_110LaNMvM	b	95.37330472928701
14990368_110LaNMvM	rstart	97.6202879080756
14990368_112HaNMvM	b	119.25655924608668
14990368_112HaNMvM	rstart	121.43914699074074
14990368_113HaMvM	b	125.31918789637879
14990368_113HaMvM	rstart	127.76673058127572
14990368_114LaNMvNM	b	133.74866557680357
14990368_114LaNMvNM	rstart	135.98179855103805
14990368_115HaMvNM	b	142.5102126366238
14990368_115HaMvNM	rstart	145.07405282738094
14990368_116HaNMvM	b	152.02572400201217
14990368_116HaNMvM	rstart	154.7477380305383
14990368_117HaMvM	b	163.17856013408002
14990368_117HaMvM	rstart	165.577432568438
14990368_118LaNMvNM	b	169.60852848845136
14990368_118LaNMvNM	rstart	172.37764908854166
14990368_119HaMvNM	b	180.510842828871
14990368_119HaMvNM	rstart	183.01573280484067
14990368_120HaNMvM	b	187.03598853481665
14990368_120HaNMvM	rstart	189.73611141304346
14990368_121HaMvM	b	196.0275168145365
14990368_121HaMvM	rstart	198.25148654513887
14990368_122LaNMvNM	b	205.92518003116868
14990368_122LaNMvNM	rstart	208.84525274122805
14990368_123HaMvNM	b	216.17819564098446
