label	time
14566634_100LaNMvNM	-0
14566634_101LaMvM	2.0604875283446713
14566634_102LaNMvM	3.36256462585034
14566634_103HaNMvM	5.3029433106575965
14566634_104HaMvM	7.134149659863946
14566634_105LaNMvNM	8.61916553287982
14566634_107HaMvNM	10.463589569160998
14566634_108HaNMvM	11.53774149659864
14566634_109HaMvM	13.625743764172336
14566634_10LaNMvM	15.351668934240363
14566634_110LaNMvNM	17.038455782312926
14566634_111HaMvNM	18.143433106575966
14566634_112LaMvM	19.853625850340137
14566634_113LaMvNM	21.987827664399095
14566634_114HaNMvNM	23.141226757369616
14566634_115LaNMvM	25.339886621315195
14566634_116LaMvM	27.05930158730159
14566634_117LaMvNM	28.98303174603175
14566634_118HaNMvNM	30.391780045351474
14566634_119LaNMvM	32.60067800453515
14566634_120LaMvM	33.70045578231293
14566634_121LaMvNM	35.76588888888889
14566634_122HaNMvNM	37.518138321995465
14566634_123LaNMvM	39.72621541950114
14566634_124LaMvM	41.277403628117916
14566634_126LaMvNM	42.516260770975066
14566634_127HaNMvNM	44.31398185941044
14566634_128LaNMvM	46.09300000000001
14566634_129HaNMvM	47.87826077097507
14566634_12LaMvM	49.78701587301588
14566634_130HaMvM	51.27829024943312
14566634_131LaNMvNM	52.98099092970523
14566634_132HaMvNM	54.14675056689344
14566634_133HaNMvM	55.82850340136056
14566634_134HaMvM	57.46393650793652
14566634_136LaNMvNM	59.41664399092972
14566634_137HaMvNM	60.58443083900228
14566634_138HaNMvM	62.16812018140591
14566634_139HaMvM	63.82575736961452
14566634_13HaMvM	65.4447664399093
14566634_140LaNMvNM	67.22956916099774
14566634_141HaMvNM	68.9728344671202
14566634_14LaMvNM	70.70301814058959
14566634_15HaNMvNM	71.5988344671202
14566634_16LaNMvM	73.85783900226758
14566634_17HaNMvM	75.56104988662133
14566634_19HaMvM	76.86940816326532
14566634_20LaNMvNM	79.03260544217689
14566634_21HaMvNM	80.78980045351476
14566634_22HaNMvM	82.46116099773245
14566634_23HaMvM	83.47592517006804
14566634_24LaNMvNM	85.45669387755103
14566634_25HaMvNM	86.98652154195013
14566634_26HaNMvM	88.16758956916101
14566634_27HaMvM	90.3972448979592
14566634_28LaNMvNM	91.97467573696146
14566634_29HaMvNM	93.35728798185941
14566634_2LaMvM	95.42568480725625
14566634_30HaNMvM	96.57048299319729
14566634_31HaMvM	98.1032970521542
14566634_32LaNMvNM	100.11682312925171
14566634_33HaMvNM	101.6331247165533
14566634_35LaMvM	103.15529251700681
14566634_37HaNMvNM	105.02060997732427
14566634_38LaNMvM	106.72818594104308
14566634_39LaMvM	108.2201224489796
14566634_3LaMvNM	109.85402494331066
14566634_40LaMvNM	110.87766439909298
14566634_41HaNMvNM	113.1173015873016
14566634_42LaNMvM	114.73497052154195
14566634_43LaMvM	116.2677732426304
14566634_44LaNMvNM	117.83219501133789
14566634_45HaMvNM	119.0641292517007
14566634_46LaMvNM	121.28876417233563
14566634_47HaNMvNM	122.36080952380955
14566634_48LaNMvM	124.43803401360546
14566634_4HaNMvNM	125.93323809523811
14566634_50LaNMvM	127.49174149659865
14566634_51LaMvM	128.67719047619048
14566634_52HaMvNM	130.25917460317459
14566634_53LaMvNM	131.74503628117913
14566634_54HaMvNM	133.52226530612245
14566634_55HaNMvNM	135.8490476190476
14566634_57HaNMvNM	136.79083446712016
14566634_58LaNMvM	138.3736961451247
14566634_59HaNMvM	140.46662131519273
14566634_5LaNMvM	142.07899999999998
14566634_60HaMvM	143.7094172335601
14566634_61LaNMvNM	145.5183922902494
14566634_62HaMvNM	147.14226984126984
14566634_64HaMvM	148.59597505668935
14566634_65LaNMvNM	149.8889569160998
14566634_66HaMvNM	151.2413628117914
14566634_67HaNMvM	152.84546485260773
14566634_68HaMvM	155.11011111111114
14566634_69LaNMvNM	156.37352607709752
14566634_70HaMvNM	158.30613378684808
14566634_71HaNMvM	159.47758503401363
14566634_72HaMvM	161.02308616780047
14566634_73LaNMvNM	163.15617913832202
14566634_74HaMvNM	164.44156462585036
14566634_75LaMvM	166.50218140589573
14566634_76LaMvNM	168.29734240362814
14566634_78HaNMvNM	169.9073628117914
14566634_79LaNMvM	171.1425963718821
14566634_7LaMvM	173.06763265306122
14566634_80LaMvM	174.12056009070295
14566634_81LaMvNM	176.3562335600907
14566634_82HaNMvNM	177.50797278911566
14566634_83LaNMvM	179.8017074829932
14566634_85LaMvM	181.37768480725623
14566634_86LaMvNM	182.60961678004537
14566634_87HaNMvNM	184.5246054421769
14566634_88LaNMvM	185.85263718820863
14566634_89LaMvM	187.83334013605443
14566634_8LaMvNM	189.14427210884358
14566634_90LaMvNM	191.15621088435378
14566634_91HaNMvNM	192.7164875283447
14566634_93LaNMvM	194.10289115646262
14566634_94HaNMvM	196.1369523809524
14566634_95HaMvM	197.84652607709754
14566634_97HaMvNM	199.05362131519277
14566634_98HaNMvM	200.8244376417234
14566634_99HaMvM	202.00834920634927
14566634_9HaNMvNM	203.59303854875287
