label	time
15216048_100LaMvM	0.527
15216048_102LaNMvM	2.1410625000000003
15216048_103LaNMvNM	3.829166666666667
15216048_104HaMvNM	6.812895833333334
15216048_105LaMvM	8.727375
15216048_107LaNMvM	10.469666666666667
15216048_108LaNMvNM	12.133729166666667
15216048_109HaMvNM	13.843791666666666
15216048_10HaMvM	16.180895833333334
15216048_110LaMvM	18.263645833333335
15216048_111LaNMvM	20.4709375
15216048_112LaMvNM	22.297520833333333
15216048_113HaNMvNM	24.04235416666667
15216048_114HaNMvM	25.92029166666667
15216048_115HaMvM	27.846937500000003
15216048_116LaMvNM	29.830145833333333
15216048_117HaNMvNM	31.897645833333332
15216048_118HaNMvM	34.197291666666665
15216048_119HaMvM	36.07058333333333
15216048_120LaMvNM	38.47475
15216048_121HaNMvNM	41.21391666666667
15216048_122HaNMvM	42.761625
15216048_123HaMvM	45.3918125
15216048_124LaMvNM	48.0009375
15216048_126HaNMvNM	50.398208333333336
15216048_127HaNMvM	52.14616666666667
15216048_128HaMvM	53.95764583333334
15216048_129LaNMvNM	55.76443750000001
15216048_12LaMvNM	57.748000000000005
15216048_130HaMvNM	59.6583125
15216048_131LaMvM	61.432437500000006
15216048_132LaNMvM	63.08497916666668
15216048_133LaNMvNM	64.95406250000002
15216048_134HaMvNM	66.84270833333335
15216048_136LaMvM	68.80200000000002
15216048_137LaNMvM	70.53102083333336
15216048_138LaNMvNM	72.33154166666668
15216048_139HaMvNM	74.13614583333334
15216048_13HaMvM	75.84035416666667
15216048_140LaMvM	77.5821875
15216048_14HaNMvNM	79.53131250000001
15216048_15HaNMvM	81.33010416666667
15216048_16HaMvM	83.43145833333334
15216048_17LaNMvNM	85.34460416666667
15216048_19HaMvNM	87.93889583333335
15216048_20LaMvM	90.14939583333336
15216048_21LaNMvM	92.15775000000002
15216048_22LaNMvNM	94.55672916666668
15216048_23HaMvNM	96.15225000000002
15216048_24LaMvM	98.22112500000001
15216048_25LaNMvM	100.20581250000002
15216048_26LaNMvNM	102.09827083333336
15216048_27HaMvNM	104.23254166666669
15216048_28LaMvM	106.17670833333335
15216048_29LaNMvM	108.04322916666669
15216048_2LaMvNM	109.9379166666667
15216048_30LaNMvNM	111.87337500000002
15216048_31HaMvNM	113.86647916666669
15216048_32LaMvM	115.67366666666669
15216048_33LaNMvM	117.70008333333335
15216048_35LaMvNM	119.70922916666669
15216048_36HaNMvNM	121.66975000000002
15216048_37HaNMvM	123.49506250000002
15216048_38HaMvM	125.32858333333336
15216048_39LaMvNM	127.30481250000003
15216048_3HaNMvNM	129.03764583333336
15216048_40HaNMvNM	130.78970833333335
15216048_41HaNMvM	132.66350000000003
15216048_42HaMvM	134.35106250000004
15216048_43LaMvNM	136.0843541666667
15216048_44LaNMvNM	138.00666666666672
15216048_45HaMvNM	139.84862500000003
15216048_46HaNMvNM	141.7173541666667
15216048_47HaNMvM	143.62383333333338
15216048_48LaNMvM	145.45118750000003
15216048_4HaNMvM	147.36745833333336
15216048_50HaMvM	149.3036666666667
15216048_51LaMvNM	151.20631250000002
15216048_52HaMvNM	153.10408333333336
15216048_53HaNMvNM	154.81177083333336
15216048_54LaNMvM	156.84464583333337
15216048_55HaNMvNM	158.70508333333336
15216048_57HaNMvM	160.33758333333338
15216048_58HaMvM	162.00618750000004
15216048_59LaNMvNM	164.4712708333334
15216048_5HaMvM	166.51162500000007
15216048_60HaMvNM	168.66079166666674
15216048_61LaMvM	170.7300208333334
15216048_62LaNMvM	172.41654166666675
15216048_63LaNMvNM	174.28012500000008
15216048_64HaMvNM	176.38856250000006
15216048_65LaMvM	178.19900000000007
15216048_66LaNMvM	179.84525000000008
15216048_67LaNMvNM	181.7158958333334
15216048_68HaMvNM	183.72750000000008
15216048_69LaMvM	185.72931250000008
15216048_70LaNMvM	187.7429583333334
15216048_71LaNMvNM	189.56225000000006
15216048_72HaMvNM	191.55856250000008
15216048_73LaMvM	193.34591666666677
15216048_74LaNMvM	195.1396875000001
15216048_75LaMvNM	197.04960416666677
15216048_76HaNMvNM	198.86664583333345
15216048_78HaNMvM	200.81402083333344
15216048_79HaMvM	202.6757500000001
15216048_7LaMvNM	204.3060416666668
15216048_80LaMvNM	206.59825000000012
15216048_81HaNMvNM	208.2435625000001
15216048_82HaNMvM	210.86508333333344
15216048_83HaMvM	212.72677083333343
15216048_85LaMvNM	215.55458333333345
15216048_86HaNMvNM	217.57539583333346
15216048_87HaNMvM	219.39577083333344
15216048_88HaMvM	220.5101041666668
15216048_89LaMvNM	223.37352083333346
15216048_8HaNMvNM	225.37479166666682
15216048_90HaNMvNM	227.26216666666681
15216048_91HaNMvM	229.4074791666668
15216048_93HaMvM	231.01893750000013
15216048_94LaNMvNM	233.00135416666683
15216048_95HaMvNM	234.9277916666668
15216048_96LaMvM	236.99802083333347
15216048_97LaNMvM	239.14222916666682
15216048_98LaNMvNM	240.9017708333335
15216048_99HaMvNM	242.87706250000016
15216048_9HaNMvM	244.61806250000018
