label	time
14526592_100HaNMvNM	0.9032666666666489
14526592_101LaMvM	3.0865501461988116
14526592_102LaNMvM	5.4140931266792975
14526592_103HaMvNM	8.462276460012635
14526592_104HaNMvM	10.641458333726618
14526592_105HaNMvNM	12.568081674068267
14526592_107LaMvM	14.555490053280813
14526592_108HaMvNM	16.94945517129773
14526592_109HaNMvM	18.874720217594025
14526592_10LaMvNM	21.003919622355937
14526592_110HaNMvNM	23.074055874584104
14526592_111LaMvM	25.61831850084674
14526592_112LaNMvM	27.78542273985137
14526592_113LaNMvNM	29.61204634164109
14526592_114HaMvM	31.67104511445575
14526592_115LaMvNM	33.681396913698165
14526592_116LaNMvM	36.424278999453975
14526592_117LaNMvNM	38.87469042715006
14526592_118HaMvM	41.3498419386063
14526592_119LaMvNM	43.27450422726518
14526592_120LaNMvM	45.573846489169924
14526592_121LaNMvNM	48.11960818507639
14526592_122HaMvM	50.362455689886374
14526592_123LaMvNM	52.50044536002524
14526592_124LaNMvM	54.78825796749878
14526592_126LaNMvNM	57.05024933808447
14526592_127HaMvM	59.42614332417581
14526592_128LaMvNM	62.07652714940731
14526592_129HaMvNM	64.2155029009386
14526592_12LaNMvM	65.9320001094218
14526592_130HaNMvM	68.03895415150372
14526592_131HaNMvNM	70.24426647753195
14526592_132LaMvM	73.03441875480924
14526592_133HaMvNM	75.61531881991344
14526592_134HaNMvM	77.72298262170774
14526592_136HaNMvNM	79.75896450023883
14526592_137LaMvM	82.45477474581047
14526592_138HaMvNM	84.39878997016946
14526592_139HaNMvM	86.57617307202132
14526592_13HaMvM	88.33128737061195
14526592_140HaNMvNM	91.07570368925637
14526592_141LaMvM	93.35914844372063
14526592_14LaNMvNM	96.20303931673656
14526592_15HaMvM	98.57652846225601
14526592_16LaMvNM	101.24429258788733
14526592_17HaMvNM	103.26931418068988
14526592_19HaNMvM	105.6484408734646
14526592_20HaNMvNM	108.30668705402012
14526592_21LaMvM	110.55388954045047
14526592_22HaMvNM	113.01166580856646
14526592_23HaNMvM	115.56101526293155
14526592_24HaNMvNM	118.06364401551956
14526592_25LaMvM	121.01520130718625
14526592_26HaMvNM	123.31332508625603
14526592_27HaNMvM	125.88256349123343
14526592_28HaNMvNM	127.9344340269477
14526592_29LaMvM	129.99981646742384
14526592_2LaNMvM	132.56246980075719
14526592_30HaMvNM	135.12841683007815
14526592_31HaNMvM	137.13680759290895
14526592_32HaNMvNM	139.1821132511215
14526592_33LaMvM	141.13032662251055
14526592_35LaNMvM	143.11991715749002
14526592_36LaNMvNM	145.0941158209755
14526592_37HaMvM	147.40704112177758
14526592_38LaMvNM	149.47732739907252
14526592_39LaNMvM	151.19810854264563
14526592_3LaNMvNM	153.90450556870394
14526592_40LaNMvNM	157.19434098537062
14526592_41HaMvM	159.26316325099566
14526592_42LaMvNM	162.58635219775488
14526592_43LaNMvM	164.4761186118963
14526592_44LaNMvNM	166.2612139644604
14526592_45HaMvNM	168.90970279364592
14526592_46LaNMvNM	171.91505344062966
14526592_47HaMvM	174.09649239029994
14526592_48LaNMvM	176.0540220738839
14526592_4HaMvM	178.64982762943941
14526592_50LaMvNM	180.81852981659335
14526592_51LaNMvM	183.3083571613646
14526592_52HaMvNM	185.28035729218618
14526592_53LaNMvNM	187.91058652012737
14526592_54LaMvM	189.94313666182893
14526592_55HaNMvNM	191.8938953457215
14526592_57HaMvM	194.09104940167958
14526592_58LaMvNM	196.45535981834632
14526592_59HaMvNM	198.47199920326693
14526592_5LaMvNM	200.73073505974844
14526592_60HaNMvM	202.94375989949208
14526592_61HaNMvNM	205.08281764613957
14526592_62LaMvM	207.68554748484928
14526592_63HaMvNM	209.3183737907542
14526592_64HaNMvM	211.65182502452217
14526592_65HaNMvNM	213.7662402525698
14526592_66LaMvM	216.34102737378203
14526592_67HaMvNM	218.361925145618
14526592_68HaNMvM	220.74491588635885
14526592_69HaNMvNM	222.71213625639268
14526592_70LaMvM	224.53512223450184
14526592_71HaMvNM	227.00440638257726
14526592_72HaNMvM	229.32326653882728
14526592_73HaNMvNM	231.29814949170589
14526592_74LaMvM	233.67866793483802
14526592_75LaNMvM	235.6355572874087
14526592_76LaNMvNM	237.84008672116943
14526592_78HaMvM	239.6809669991701
14526592_79LaMvNM	241.65241426479497
14526592_7LaNMvM	243.78089584545057
14526592_80LaNMvM	245.94235552098758
14526592_81LaNMvNM	248.47605099746124
14526592_82HaMvM	250.434218556985
14526592_83LaMvNM	252.89715276561333
14526592_85LaNMvM	255.42036284841254
14526592_86LaNMvNM	258.32582253906924
14526592_87HaMvM	260.64176518923057
14526592_88LaMvNM	263.16906821953364
14526592_89LaNMvM	265.5518832079596
14526592_8LaNMvNM	267.6770356436465
14526592_90LaNMvNM	269.4406479403182
14526592_91HaMvM	271.6805180597819
14526592_93LaMvNM	273.6223863045291
14526592_94HaMvNM	276.1919560961958
14526592_95HaNMvM	278.18658013465733
14526592_96HaNMvNM	280.9502622892627
14526592_97LaMvM	283.235182968275
14526592_98HaMvNM	284.99256637470785
14526592_99HaNMvM	287.60273304137445
14526592_9HaMvM	289.78784159009706
