label	time
15219350_100HaNMvM	0.6039004629629465
15219350_101LaMvM	2.9817650462962804
15219350_102LaNMvM	5.174259048821536
15219350_103HaNMvNM	7.383379617604604
15219350_104LaMvNM	9.382572193362176
15219350_105HaNMvM	11.312419415584394
15219350_107HaMvM	13.360023129352506
15219350_108HaNMvNM	15.169235838884802
15219350_109LaMvNM	17.102707978435063
15219350_10LaNMvNM	19.552156842071433
15219350_110HaNMvM	21.4396595130116
15219350_111HaMvM	23.633650104409448
15219350_112HaMvNM	25.886754271076114
15219350_113LaNMvM	28.063792149864
15219350_114LaMvM	29.913454649864008
15219350_115LaNMvNM	32.0064450344794
15219350_116HaMvNM	34.11524214096089
15219350_117LaNMvM	36.12951698791241
15219350_118LaMvM	38.36730396707908
15219350_119LaNMvNM	40.41023018235687
15219350_120HaMvNM	42.56013527494946
15219350_121LaNMvM	44.92185087253718
15219350_122LaMvM	46.801030415361254
15219350_123LaNMvNM	49.03098369818953
15219350_124HaMvNM	51.00595930360264
15219350_126LaNMvM	53.39015837767671
15219350_127LaMvM	55.259780272086616
15219350_128LaNMvNM	57.150022170234806
15219350_129HaNMvNM	59.06387460328118
15219350_12HaMvNM	60.91643793359516
15219350_130LaMvNM	63.17016656607383
15219350_131HaNMvM	65.00739201685356
15219350_132HaMvM	66.86240243352022
15219350_133HaNMvNM	69.11453591237505
15219350_134LaMvNM	71.35090360718026
15219350_136HaNMvM	73.4117781986835
15219350_137HaMvM	75.35757912460942
15219350_138HaNMvNM	77.53540939421727
15219350_139LaMvNM	79.85119105271396
15219350_13HaMvM	81.71447438604729
15219350_140HaNMvM	83.86660377201217
15219350_141HaMvM	85.74543554495416
15219350_14LaNMvM	88.27426135513933
15219350_15LaMvM	90.491974271806
15219350_16LaNMvNM	92.38621888541
15219350_17HaNMvNM	94.22305420592282
15219350_19LaMvNM	96.43916443900075
15219350_20HaNMvM	98.76763110566746
15219350_21HaMvM	100.97362107480326
15219350_22HaNMvNM	103.38266505828027
15219350_23LaMvNM	105.71017155178676
15219350_24HaNMvM	107.57165982013309
15219350_25HaMvM	109.32407117279011
15219350_26HaNMvNM	111.71924157877307
15219350_27LaMvNM	114.18350920697817
15219350_28HaNMvM	116.31369782304957
15219350_29HaMvM	118.45179961398527
15219350_2HaMvNM	120.3927263996995
15219350_30HaNMvNM	122.23034425684234
15219350_31LaMvNM	124.18279018938212
15219350_32HaNMvM	126.12393259040375
15219350_33HaMvM	128.090410765007
15219350_35HaMvNM	130.1299375507212
15219350_36LaNMvM	132.4318188007212
15219350_37LaMvM	134.45944826500693
15219350_38LaNMvNM	136.42677981262597
15219350_39HaMvNM	138.34509528881642
15219350_3LaNMvM	140.15490258048305
15219350_40LaNMvM	142.16234123789042
15219350_41LaMvM	144.35683394622373
15219350_42LaNMvNM	146.41405983006211
15219350_43HaMvNM	148.314470499254
15219350_44LaNMvNM	150.30390880053614
15219350_45HaMvNM	152.51892673531881
15219350_46LaNMvM	155.12475067322725
15219350_47LaMvM	157.2943548398939
15219350_48LaNMvM	159.17400067322728
15219350_4LaMvM	161.45655067322724
15219350_50LaNMvNM	163.40473296489392
15219350_51HaMvNM	165.33745680210325
15219350_52HaMvNM	167.4350293102732
15219350_53LaNMvM	169.64554926825645
15219350_54HaMvM	171.91823860649174
15219350_55HaNMvNM	174.0987437453806
15219350_57LaMvM	176.32692137695955
15219350_58LaNMvNM	178.20142169261607
15219350_59HaNMvNM	180.35614593504022
15219350_5LaNMvNM	182.5002735392069
15219350_60LaMvNM	184.53373931301638
15219350_61HaNMvM	186.20325842931675
15219350_62HaMvM	188.6692370853625
15219350_63HaNMvNM	190.8341264411048
15219350_64LaMvNM	192.71851943352902
15219350_65HaNMvM	194.92665101247644
15219350_66HaMvM	196.82082363152404
15219350_67HaNMvNM	198.6351724109404
15219350_68LaMvNM	200.8276045690601
15219350_69HaNMvM	202.50413814488644
15219350_70HaMvM	204.44265737565564
15219350_71HaNMvNM	206.37184740090817
15219350_72LaMvNM	208.52901719257483
15219350_73HaNMvM	210.17365612971133
15219350_74HaMvM	211.86729964822985
15219350_75HaMvNM	213.84703070883592
15219350_76LaNMvM	215.85790758962293
15219350_78LaMvM	218.14874260645797
15219350_79LaNMvNM	220.26304438931055
15219350_7HaMvNM	222.4211458503496
15219350_80HaMvNM	224.29180156616155
15219350_81LaNMvM	226.07064531616152
15219350_82LaMvM	228.02966724598605
15219350_83LaNMvNM	230.10538829576956
15219350_85HaMvNM	232.25183360826964
15219350_86LaNMvM	234.48926329576955
15219350_87LaMvM	236.3758622541029
15219350_88LaNMvNM	238.63911051799175
15219350_89HaMvNM	240.71981103882513
15219350_8LaNMvM	242.70284286752883
15219350_90LaNMvM	245.01112932586204
15219350_91LaMvM	246.89029686058427
15219350_93LaNMvNM	249.13684503766763
15219350_94HaNMvNM	251.16959295433423
15219350_95LaMvNM	253.30655762824733
15219350_96HaNMvM	255.08458419074725
15219350_97HaMvM	257.1279088961344
15219350_98HaNMvNM	259.2253915350233
15219350_99LaMvNM	261.3297995211343
15219350_9LaMvM	263.5917517780787
