"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","batch","original_label","videoname","Task.Version","Spreadsheet","Response","display","randomise_blocks","row_number","filename","rowmean","block","Experiment.Version","Participant.OS","Participant.Browser","randomiser_t27m","date.of.birth_year","date.of.birth_month","sex","languages","response_6","response_6_text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response_4_1","response_4_2","response_4_3","response_4_4","response_4_text","response_5","Comments","SUBJECT","ITEM","RT","GROUP","AUDIO","VIDEO","PREDICT","ACOUSTIC","VISUAL","PREDICTABILITY","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"21","210719_a25",14557507,343.858862462167,238.500961227577,0,"spin","122L","spoon","aNM","vNM","L","a","aNMvNM",2.55495273920108,2.21109387673891,2.3164517779735,1,"14557507_122LaNMvNM","122L_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=122LaNMvNMmp4-123-2.weba","Block1",4,108,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",106,4,7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_a25","122L",238.500961227577,"Adults","aNM","vNM","L","No Acoustic Mask","No Visual Mask","Low Predictability","0","aNMvNM",108,4,26.25,"Female"
"33","210719_a25",14557507,487.866399451959,354.75436665264,0,"ten","134L","tin","aM","vM","L","a","aMvM",2.26796424025919,1.78009784080723,1.91320987360655,1,"14557507_134LaMvM","134L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=134LaMvMmp4-86-2.weba","Block1",2,73,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",76,3,7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_a25","134L",354.75436665264,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",73,3,26.25,"Female"
"46","210719_a25",14557507,538.916889590977,353.540993387037,0,"clark?","21H","clerk","aNM","vNM","H","a","aNMvNM",3.07813370039808,2.5392168108071,2.72459270701104,1,"14557507_21HaNMvNM","21H_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14557507?filename=21HaNMvNMmp4-28-2.weba","Block1",3,19,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v7_task-fbmh.csv",16,1,7,"Windows 10","Chrome 92.0.4515.107","Version8",26,3,"Female","English","Born and raised in the UK",NA,"Yes sometimes",3,2,"",1,2,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_a25","21H",353.540993387037,"Adults","aNM","vNM","H","No Acoustic Mask","No Visual Mask","High Predictability","0","aNMvNM",19,1,26.25,"Female"
"137","210719_a41",14610319,622.613071064866,467.186823293006,0,"snail","118L","sling","aM","vNM","L","a","aMvNM",2.95888363813267,2.3362705670678,2.49169681483966,1,"14610319_118LaMvNM","118L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=118LaMvNMmp4-130-2.weba","Block1",3,115,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",106,4,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","118L",467.186823293006,"Adults","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",115,4,51.6666666666667,"Male"
"158","210719_a41",14610319,256.35041508586,87.84801123964,0,"nasalisation 'mban'","140H","van","aM","vNM","H","a","aMvNM",2.85208491167553,2.59573449658967,2.76423690043589,1,"14610319_140HaMvNM","140H_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=140HaMvNMmp4-44-2.weba","Block1",4,33,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",46,2,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","140H",87.84801123964,"Adults","aM","vNM","H","Acoustic Mask","No Visual Mask","High Predictability","0","aMvNM",33,2,51.6666666666667,"Male"
"163","210719_a41",14610319,704.232199472739,471.75224089575,0,"pulsed?","17L","calf","aM","vM","L","a","aMvM",3.42767699303266,2.72344479355992,2.95592475213691,1,"14610319_17LaMvM","17L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=17LaMvMmp4-70-2.weba","Block1",4,59,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",46,2,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","17L",471.75224089575,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",59,2,51.6666666666667,"Male"
"183","210719_a41",14610319,349.786181005089,247.373978624139,0,"wrongthencorrectsit","38H","den","aNM","vNM","H","a","aNMvNM",2.79584460896278,2.44605842795769,2.54847063033864,1,"14610319_38HaNMvNM","38H_aNM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=38HaNMvNMmp4-122-2.weba","Block1",3,107,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",106,4,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","38H",247.373978624139,"Adults","aNM","vNM","H","No Acoustic Mask","No Visual Mask","High Predictability","0","aNMvNM",107,4,51.6666666666667,"Male"
"234","210719_a41",14610319,552.021266574378,282.595531280138,0,"bet","94L","pet","aM","vM","L","a","aMvM",2.91004044612093,2.35801917954655,2.62744491484079,1,"14610319_94LaMvM","94L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=94LaMvMmp4-49-2.weba","Block1",4,38,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",46,2,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","94L",282.595531280138,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",38,2,51.6666666666667,"Male"
"237","210719_a41",14610319,794.307417295195,653.145291226835,0,"time","98L","pine","aM","vM","L","a","aMvM",2.71108065509717,1.91677323780198,2.05793536387034,1,"14610319_98LaMvM","98L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14610319?filename=98LaMvMmp4-92-2.weba","Block1",1,79,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v8_task-b6hw.csv",76,3,8,"Windows 10","Chrome 92.0.4515.107","Version1",51,8,"Male","English","Born and raised in the UK",NA,"Yes sometimes",2,3,"low volume and pronunciation without being able to lip read",2,1,"Everything worked well","",NA,"",NA,"none","One of the questions in Level 2 text on screen should say 'kerb' not 'curb'!","210719_a41","98L",653.145291226835,"Adults","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",79,3,51.6666666666667,"Male"
"325","210719_c12",14456668,5683.39750400003,5571.13000400005,0,"I dont' know","65H","herd","aM","vM","H","c","aMvM",8.02636517939544,2.34296767539541,2.45523517539539,1,"14456668_65HaMvM","65H_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14456668?filename=65HaMvMmp4-13-2.weba","Block1",3,4,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv",16,1,3,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version2",10,7,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"I don't know",2,1,NA,1,1,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_c12","65H",5571.13000400005,"Children","aM","vM","H","Acoustic Mask","Visual Mask","High Predictability","0","aMvM",4,1,10.5833333333333,"Female"
"334","210719_c12",14456668,622.632936549491,413.711805597121,0,"a kick","74L","kick","aM","vNM","L","c","aMvNM",3.03548415818885,2.41285122163936,2.62177235259173,1,"14456668_74LaMvNM","74L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14456668?filename=74LaMvNMmp4-124-2.weba","Block1",2,109,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv",106,4,3,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version2",10,7,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"I don't know",2,1,NA,1,1,"Everything worked well",NA,NA,NA,NA,NA,NA,"210719_c12","74L",413.711805597121,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",109,4,10.5833333333333,"Female"
"397","210719_c26",14526592,787.644457877275,652.279421645305,0,"s van","140H","van","aNM","vNM","H","c","aNMvNM",3.38428269857378,2.59663824069651,2.73200327692848,1,"14526592_140HaNMvNM","140H_aNM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=140HaNMvNMmp4-78-2.weba","Block1",4,65,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",76,3,5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","","210719_c26","140H",652.279421645305,"Children","aNM","vNM","H","No Acoustic Mask","No Visual Mask","High Predictability","0","aNMvNM",65,3,11.3333333333333,"Female"
"405","210719_c26",14526592,747.525237765359,564.677305315859,0,"'clocp'","21L","clerk","aM","vM","L","c","aMvM",2.90637805614469,2.15885281837933,2.34170075082883,1,"14526592_21LaMvM","21L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=21LaMvMmp4-107-2.weba","Block1",3,92,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",106,4,5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","","210719_c26","21L",564.677305315859,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",92,4,11.3333333333333,"Female"
"432","210719_c26",14526592,1034.83938448773,926.735408602498,0,"'fame'","50L","flame","aM","vNM","L","c","aMvNM",3.38549494567201,2.35065556118428,2.45875953706951,1,"14526592_50LaMvNM","50L_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=50LaMvNMmp4-15-2.weba","Block1",1,6,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",16,1,5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","","210719_c26","50L",926.735408602498,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",6,1,11.3333333333333,"Female"
"433","210719_c26",14526592,802.197174679236,599.038378382946,0,"sounds like 'flog'. I think it ends with a click actually","51L","flock","aNM","vM","L","c","aNMvM",2.99644217065691,2.19424499597767,2.39740379227396,1,"14526592_51LaNMvM","51L_aNM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=51LaNMvMmp4-116-2.weba","Block1",3,101,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",106,4,5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","","210719_c26","51L",599.038378382946,"Children","aNM","vM","L","No Acoustic Mask","Visual Mask","Low Predictability","0","aNMvM",101,4,11.3333333333333,"Female"
"453","210719_c26",14526592,749.160536254233,468.810446648493,0,"I think the final 'k' is voiced though","73H","junk","aNM","vNM","H","c","aNMvNM",3.04152247462633,2.2923619383721,2.57271202797784,1,"14526592_73HaNMvNM","73H_aNM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=73HaNMvNMmp4-22-2.weba","Block1",1,13,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",16,1,5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","","210719_c26","73H",468.810446648493,"Children","aNM","vNM","H","No Acoustic Mask","No Visual Mask","High Predictability","0","aNMvNM",13,1,11.3333333333333,"Female"
"483","210719_c29",14956811,670.282044338458,486.466054742869,0,"it ends with a click","107L","rope","aM","vNM","L","c","aMvNM",2.81679841484968,2.14651637051122,2.33033236010681,1,"14956811_107LaMvNM","107L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=107LaMvNMmp4-62-2.weba","Block1",1,51,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",46,2,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","107L",486.466054742869,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",51,2,11.5833333333333,"Female"
"497","210719_c29",14956811,393.773939513221,198.107930005401,0,"spoold","121L","spool","aM","vM","L","c","aMvM",2.5247124647612,2.13093852524798,2.3266045347558,1,"14956811_121LaMvM","121L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=121LaMvMmp4-91-2.weba","Block1",3,78,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","121L",198.107930005401,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",78,3,11.5833333333333,"Female"
"510","210719_c29",14956811,1074.71521468441,920.843956968416,0,"too quite to be heard","134L","tin","aNM","vNM","L","c","aNMvNM",2.82978052126035,1.75506530657594,1.90893656429193,1,"14956811_134LaNMvNM","134L_aNM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=134LaNMvNMmp4-30-2.weba","Block1",2,21,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","134L",920.843956968416,"Children","aNM","vNM","L","No Acoustic Mask","No Visual Mask","Low Predictability","0","aNMvNM",21,1,11.5833333333333,"Female"
"519","210719_c29",14956811,1412.64158283922,1191.76973940488,0,"do not think she said anything","16H","cake","aNM","vM","H","c","aNMvM",4.03675661543504,2.62411503259582,2.84498687603016,1,"14956811_16HaNMvM","16H_aNM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=16HaNMvMmp4-34-2.weba","Block1",2,25,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","16H",1191.76973940488,"Children","aNM","vM","H","No Acoustic Mask","Visual Mask","High Predictability","0","aNMvM",25,1,11.5833333333333,"Female"
"523","210719_c29",14956811,313.586915749411,130.738983299911,0,"cars?","21L","clerk","aM","vNM","L","c","aMvNM",2.47243973412874,2.15885281837933,2.34170075082883,1,"14956811_21LaMvNM","21L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=21LaMvNMmp4-80-2.weba","Block1",3,67,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",76,3,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","21L",130.738983299911,"Children","aM","vNM","L","Acoustic Mask","No Visual Mask","Low Predictability","0","aMvNM",67,3,11.5833333333333,"Female"
"542","210719_c29",14956811,1275.9078321006,1229.2715821006,0,"sounds like boy","3L","bay","aM","vM","L","c","aMvM",3.69359498845037,2.41768715634977,2.46432340634977,1,"14956811_3LaMvM","3L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=3LaMvMmp4-16-2.weba","Block1",2,7,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",16,1,9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","","210719_c29","3L",1229.2715821006,"Children","aM","vM","L","Acoustic Mask","Visual Mask","Low Predictability","0","aMvM",7,1,11.5833333333333,"Female"
