"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","videoname","Task.Version","Spreadsheet","Response","display","row_number","filename","Experiment.Version","Participant.OS","Participant.Browser","randomiser.t27m","date.of.birth.year","date.of.birth.month","sex","languages","response.6","response.6.text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response.4.1","response.4.2","response.4.3","response.4.4","response.4.text","response.5","Comments","block","SUBJECT","ITEM","RT","GROUP","AUDIO","VISUAL","PREDICT","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"334","210719_c12",14456668,622.632936549491,413.711805597121,0,"a kick","74L","kick","aM","vNM","L","c","aMvNM",3.03548415818885,2.41285122163936,2.62177235259173,"74L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14456668?filename=74LaMvNMmp4-124-2.weba","Block1",109,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v3_task-tucf.csv",3,"Chromium OS 13904.77.0","Chrome 91.0.4472.147","Version2",10,7,"Female","English and another language (bilingual)","Born and raised in the UK",NA,"I don't know",2,1,NA,1,1,"Everything worked well",NA,NA,NA,NA,NA,NA,4,"210719_c12","74L",413.711805597121,"c","aM","vNM","L","0","aMvNM",109,"4",10.5833333333333,"Female"
"397","210719_c26",14526592,787.644457877275,652.279421645305,0,"s van","140H","van","aNM","vNM","H","c","aNMvNM",3.38428269857378,2.59663824069651,2.73200327692848,"140H_aNM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=140HaNMvNMmp4-78-2.weba","Block1",65,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","",3,"210719_c26","140H",652.279421645305,"c","aNM","vNM","H","0","aNMvNM",65,"3",11.3333333333333,"Female"
"405","210719_c26",14526592,747.525237765359,564.677305315859,0,"'clocp'","21L","clerk","aM","vM","L","c","aMvM",2.90637805614469,2.15885281837933,2.34170075082883,"21L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=21LaMvMmp4-107-2.weba","Block1",92,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","",4,"210719_c26","21L",564.677305315859,"c","aM","vM","L","0","aMvM",92,"4",11.3333333333333,"Female"
"432","210719_c26",14526592,1034.83938448773,926.735408602498,0,"'fame'","50L","flame","aM","vNM","L","c","aMvNM",3.38549494567201,2.35065556118428,2.45875953706951,"50L_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=50LaMvNMmp4-15-2.weba","Block1",6,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","",1,"210719_c26","50L",926.735408602498,"c","aM","vNM","L","0","aMvNM",6,"1",11.3333333333333,"Female"
"433","210719_c26",14526592,802.197174679236,599.038378382946,0,"sounds like 'flog'. I think it ends with a click actually","51L","flock","aNM","vM","L","c","aNMvM",2.99644217065691,2.19424499597767,2.39740379227396,"51L_aNM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=51LaNMvMmp4-116-2.weba","Block1",101,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","",4,"210719_c26","51L",599.038378382946,"c","aNM","vM","L","0","aNMvM",101,"4",11.3333333333333,"Female"
"453","210719_c26",14526592,749.160536254233,468.810446648493,0,"I think the final 'k' is voiced though","73H","junk","aNM","vNM","H","c","aNMvNM",3.04152247462633,2.2923619383721,2.57271202797784,"73H_aNM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/14526592?filename=73HaNMvNMmp4-22-2.weba","Block1",13,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-gv44.csv",5,"Windows 10","Chrome 92.0.4515.107","Version4",11,4,"Female","English","Born and raised in the UK",NA,"No",2,2,"They have limited experience of communicating with someone with a face mask",2,1,"Everything worked well",NA,NA,NA,NA,"","",1,"210719_c26","73H",468.810446648493,"c","aNM","vNM","H","0","aNMvNM",13,"1",11.3333333333333,"Female"
"484","210719_c29",14956811,670.282044338458,486.466054742869,0,"it ends with a click","107L","rope","aM","vNM","L","c","aMvNM",2.81679841484968,2.14651637051122,2.33033236010681,"107L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=107LaMvNMmp4-62-2.weba","Block1",51,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",2,"210719_c29","107L",486.466054742869,"c","aM","vNM","L","0","aMvNM",51,"2",11.5833333333333,"Female"
"498","210719_c29",14956811,393.773939513221,198.107930005401,0,"spoold","121L","spool","aM","vM","L","c","aMvM",2.5247124647612,2.13093852524798,2.3266045347558,"121L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=121LaMvMmp4-91-2.weba","Block1",78,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",3,"210719_c29","121L",198.107930005401,"c","aM","vM","L","0","aMvM",78,"3",11.5833333333333,"Female"
"511","210719_c29",14956811,1074.71521468441,920.843956968416,0,"too quite to be heard","134L","tin","aNM","vNM","L","c","aNMvNM",2.82978052126035,1.75506530657594,1.90893656429193,"134L_aNM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=134LaNMvNMmp4-30-2.weba","Block1",21,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",1,"210719_c29","134L",920.843956968416,"c","aNM","vNM","L","0","aNMvNM",21,"1",11.5833333333333,"Female"
"520","210719_c29",14956811,1412.64158283922,1191.76973940488,0,"do not think she said anything","16H","cake","aNM","vM","H","c","aNMvM",4.03675661543504,2.62411503259582,2.84498687603016,"16H_aNM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=16HaNMvMmp4-34-2.weba","Block1",25,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",1,"210719_c29","16H",1191.76973940488,"c","aNM","vM","H","0","aNMvM",25,"1",11.5833333333333,"Female"
