"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VISUAL"	"PREDICT"	"ACC"	"CONDITION"	"RTcut"	"LogRT"
"210719_a25"	14557507	519.491309341583	315.221801765823	1	""	"121H"	"spool"	"aM"	"vM"	"H"	"a"	"aMvM"	2.39840559836366	1.87891428902208	2.08318379659784	"210719_a25"	"121H"	315.221801765823	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.7532765236305
"210719_a25"	14557507	343.858862462167	238.500961227577	0	"spin"	"122L"	"spoon"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.55495273920108	2.21109387673891	2.3164517779735	"210719_a25"	"122L"	238.500961227577	"a"	"aNM"	"vNM"	"L"	"0"	"aNMvNM"	"(-50,1e+03]"	5.47437334062458
"210719_a25"	14557507	639.864147918169	455.314387241749	1	""	"123H"	"sport"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.70777402546424	2.06790987754607	2.25245963822249	"210719_a25"	"123H"	455.314387241749	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	6.1209881413182
"210719_a25"	14557507	418.060281291797	318.180956243067	1	""	"124H"	"spray"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.51338701694819	2.09532673565639	2.19520606070512	"210719_a25"	"124H"	318.180956243067	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	5.7626202657251
"210719_a25"	14557507	406.340544390743	210.550990822483	1	""	"126H"	"strap"	"aM"	"vM"	"H"	"a"	"aMvM"	2.46943858394986	2.06309803955912	2.25888759312738	"210719_a25"	"126H"	210.550990822483	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.34972786047425
"210719_a25"	14557507	712.459756948181	293.067452938531	1	""	"127L"	"swamps"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.72353947315172	2.01107971620354	2.43047202021319	"210719_a25"	"127L"	293.067452938531	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	5.68040279732898
"210719_a25"	14557507	368.674447246741	204.159566294311	1	""	"128H"	"swan"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.55509542232146	2.18642097507472	2.35093585602715	"210719_a25"	"128H"	204.159566294311	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.31890187581204
"210719_a25"	14557507	715.324854760965	666.386216805895	1	""	"129L"	"tea"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.93880561628542	2.22348076152446	2.27241939947953	"210719_a25"	"129L"	666.386216805895	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	6.50186940757435
"210719_a25"	14557507	682.888829877324	539.665371026994	1	""	"12H"	"bread"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.98090349737	2.29801466749268	2.44123812634301	"210719_a25"	"12H"	539.665371026994	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	6.29094926419193
"210719_a25"	14557507	735.589215460724	394.120465460624	1	""	"130L"	"tent"	"aM"	"vM"	"L"	"a"	"aMvM"	2.48192776738205	1.74633855192133	2.08780730192143	"210719_a25"	"130L"	394.120465460624	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	5.97665661246602
"210719_a25"	14557507	452.099360215676	217.889648564525	1	""	"131L"	"thief"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.69548884210563	2.24338948188995	2.4775991935411	"210719_a25"	"131L"	217.889648564525	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	5.3839887353817
"210719_a25"	14557507	519.86352811597	213.05639427752	1	""	"132H"	"thorns"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.81522741253892	2.29536388442295	2.6021710182614	"210719_a25"	"132H"	213.05639427752	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.36155689253248
"210719_a25"	14557507	557.857378411504	321.901091209234	1	""	"133L"	"throat"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.39740239897636	1.83954502056486	2.07550130776713	"210719_a25"	"133L"	321.901091209234	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	5.77424432820033
"210719_a25"	14557507	487.866399451959	354.75436665264	0	"ten"	"134L"	"tin"	"aM"	"vM"	"L"	"a"	"aMvM"	2.26796424025919	1.78009784080723	1.91320987360655	"210719_a25"	"134L"	354.75436665264	"a"	"aM"	"vM"	"L"	"0"	"aMvM"	"(-50,1e+03]"	5.87142562506275
"210719_a25"	14557507	557.688055606222	432.855409686982	1	""	"136L"	"trail"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.41958390483167	1.86189584922545	1.98672849514469	"210719_a25"	"136L"	432.855409686982	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	6.07040374541661
"210719_a25"	14557507	565.867909410655	370.342015348625	1	""	"137H"	"trap"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.57727380303191	2.01140589362126	2.20693178768329	"210719_a25"	"137H"	370.342015348625	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.91442694448239
"210719_a25"	14557507	581.615867626727	305.587358854817	1	""	"138L"	"truck"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.53076710914205	1.94915124151532	2.22517975028723	"210719_a25"	"138L"	305.587358854817	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	5.72223569143294
"210719_a25"	14557507	628.789770595776	453.198707247376	1	""	"139L"	"tub"	"aM"	"vM"	"L"	"a"	"aMvM"	3.00977475432482	2.38098498372904	2.55657604707744	"210719_a25"	"139L"	453.198707247376	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	6.11633067665061
"210719_a25"	14557507	613.287526651197	489.591217127417	1	""	"140L"	"van"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.20758133698926	2.59429381033806	2.71799011986184	"210719_a25"	"140L"	489.591217127417	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	6.19357079216347
"210719_a25"	14557507	445.624768728639	99.8751880434887	1	""	"141H"	"wax"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.76602870764726	2.32040393891862	2.66615351960377	"210719_a25"	"141H"	99.8751880434887	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	4.60392128687304
"210719_a25"	14557507	516.564125916542	378.596547371862	1	""	"14H"	"broom"	"aM"	"vM"	"H"	"a"	"aMvM"	2.55307866923602	2.03651454331948	2.17448212186416	"210719_a25"	"14H"	378.596547371862	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.9364711192721
"210719_a25"	14557507	530.388981266112	364.029182415532	1	""	"15L"	"bruise"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.59394638217965	2.06355740091354	2.22991719976412	"210719_a25"	"15L"	364.029182415532	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	5.89723403589442
"210719_a25"	14557507	444.600703495086	282.510859745096	1	""	"16H"	"cake"	"aM"	"vNM"	"H"	"a"	"aMvNM"	3.09475656124857	2.65015585775348	2.81224570150347	"210719_a25"	"16H"	282.510859745096	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.6437169914232
"210719_a25"	14557507	569.876210257263	337.396251680274	1	""	"17L"	"calf"	"aM"	"vNM"	"L"	"a"	"aMvNM"	3.29332100381718	2.72344479355992	2.95592475213691	"210719_a25"	"17L"	337.396251680274	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	5.82125806062596
"210719_a25"	14557507	487.407618526371	255.240850398671	1	""	"19L"	"chat"	"aM"	"vM"	"L"	"a"	"aMvM"	2.81797824307339	2.33057062454702	2.56273739267472	"210719_a25"	"19L"	255.240850398671	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	5.54220761075557
"210719_a25"	14557507	697.691077546172	308.114542458442	1	""	"20L"	"chunks"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.01913498269502	2.32144390514885	2.71102044023658	"210719_a25"	"20L"	308.114542458442	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	5.73047160493806
"210719_a25"	14557507	538.916889590977	353.540993387037	0	"clark?"	"21H"	"clerk"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	3.07813370039808	2.5392168108071	2.72459270701104	"210719_a25"	"21H"	353.540993387037	"a"	"aNM"	"vNM"	"H"	"0"	"aNMvNM"	"(-50,1e+03]"	5.86799944293305
"210719_a25"	14557507	511.94300467118	216.88258800451	1	""	"22L"	"cliff"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.48018994137702	1.96824693670584	2.26330735337251	"210719_a25"	"22L"	216.88258800451	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	5.37935613800611
"210719_a25"	14557507	623.969992688008	387.643107767377	1	""	"23L"	"clock"	"aM"	"vM"	"L"	"a"	"aMvM"	2.93035656057184	2.30638656788383	2.54271345280446	"210719_a25"	"23L"	387.643107767377	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	5.96008509098254
"210719_a25"	14557507	757.529726809237	702.611200349437	1	""	"24L"	"clue"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.99236794298115	2.23483821617191	2.28975674263171	"210719_a25"	"24L"	702.611200349437	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	6.55480368099336
"210719_a25"	14557507	564.214680200405	254.095930200385	1	""	"25H"	"coach"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.60500648207969	2.04079180187929	2.35091055187931	"210719_a25"	"25H"	254.095930200385	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.53771187367044
"210719_a25"	14557507	688.252408024387	396.860046913297	1	""	"26L"	"coast"	"aM"	"vNM"	"L"	"a"	"aMvNM"	3.02665922372665	2.33840681570226	2.62979917681335	"210719_a25"	"26L"	396.860046913297	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	5.9835836918683
"210719_a25"	14557507	532.69818115879	396.744014492131	1	""	"27L"	"coin"	"aM"	"vM"	"L"	"a"	"aMvM"	2.88522866841086	2.35253048725207	2.48848465391873	"210719_a25"	"27L"	396.744014492131	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	"(-50,1e+03]"	5.98329127294648
"210719_a25"	14557507	638.174414803281	288.921963822881	1	""	"28L"	"cops"	"aNM"	"vM"	"L"	"a"	"aNMvM"	3.01653484470308	2.3783604298998	2.7276128808802	"210719_a25"	"28L"	288.921963822881	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	5.66615663027598
