"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"batch"	"original_label"	"videoname"	"Task.Version"	"Spreadsheet"	"Response"	"display"	"randomise_blocks"	"row_number"	"filename"	"rowmean"	"block"	"Experiment.Version"	"Participant.OS"	"Participant.Browser"	"randomiser_t27m"	"date.of.birth_year"	"date.of.birth_month"	"sex"	"languages"	"response_6"	"response_6_text"	"mask.problems"	"Difficulty.x"	"Tiring"	"more.info.on.masks"	"Difficulty.y"	"Distraction"	"response_4_1"	"response_4_2"	"response_4_3"	"response_4_4"	"response_4_text"	"response_5"	"Comments"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VIDEO"	"PREDICT"	"ACOUSTIC"	"VISUAL"	"PREDICTABILITY"	"ACC"	"CONDITION"	"TRIAL"	"BLOCK"	"AGE"	"SEX"	"LIST"
"210725_a152"	15094721	859.33478355274	676.48685110324	1	"unsure_it sounds like 'clock'"	"21L"	"clerk"	"aM"	"vM"	"L"	"a"	"aMvM"	3.01818760193207	2.15885281837933	2.34170075082883	2	"15094721_21LaMvM"	"21L_aM_vM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15094721?filename=21LaMvMmp4-120-2.weba"	"Block1"	3	105	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv"	106	4	9	"Mac OS 10.13.6"	"Chrome 92.0.4515.107"	"Version4"	29	9	"Male"	"English"	"Born and raised in the UK"	""	"Yes sometimes"	2	1	""	1	1	"Everything worked well"	""	""	""	""	"one word confirmation did not load"	"none"	"210725_a152"	"21L"	676.48685110324	"Adults"	"aM"	"vM"	"L"	"Acoustic Mask"	"Visual Mask"	"Low Predictability"	"1"	"aMvM"	105	"4"	29.75	"Male"	"Version4"
"210725_a152"	15094721	1012.92812263037	920.624280639006	1	"debt?"	"38L"	"den"	"aM"	"vNM"	"L"	"a"	"aMvNM"	3.08224408404303	2.06931596141266	2.16161980340402	2	"15094721_38LaMvNM"	"38L_aM_vNM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15094721?filename=38LaMvNMmp4-134-2.weba"	"Block1"	3	119	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv"	106	4	9	"Mac OS 10.13.6"	"Chrome 92.0.4515.107"	"Version4"	29	9	"Male"	"English"	"Born and raised in the UK"	""	"Yes sometimes"	2	1	""	1	1	"Everything worked well"	""	""	""	""	"one word confirmation did not load"	"none"	"210725_a152"	"38L"	920.624280639006	"Adults"	"aM"	"vNM"	"L"	"Acoustic Mask"	"No Visual Mask"	"Low Predictability"	"1"	"aMvNM"	119	"4"	29.75	"Male"	"Version4"
"210725_a98"	15151086	64.81850084961	-74.4806890008603	1	"There is an overlap"	"65H"	"herd"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.41689821692475	2.35207971607514	2.49137890592561	2	"15151086_65HaNMvNM"	"65H_aNM_vNM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15151086?filename=65HaNMvNMmp4-80-2.weba"	"Block1"	3	67	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv"	76	3	9	"Ubuntu undefined"	"Firefox 91.0"	"Version4"	31	9	"Male"	"English"	"Born and raised in the UK"	""	"Yes sometimes"	2	2	""	2	3	"Everything worked well"	""	"There were issues with the sound"	""	"I got flustered for a couple."	"The very first test word \"\"cards\"\" was difficult to hear through my laptop speakers, but then I connected an external speaker and that worked fine."	""	"210725_a98"	"65H"	-74.4806890008603	"Adults"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	67	"3"	31.75	"Male"	"Version4"
"210725_a98"	15151086	414.860448775645	327.151840414725	1	"'prile'?"	"96H"	"pile"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.70333541663337	2.28847496785772	2.37618357621864	2	"15151086_96HaNMvNM"	"96H_aNM_vNM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15151086?filename=96HaNMvNMmp4-61-2.weba"	"Block1"	2	50	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-7xnq.csv"	46	2	9	"Ubuntu undefined"	"Firefox 91.0"	"Version4"	31	9	"Male"	"English"	"Born and raised in the UK"	""	"Yes sometimes"	2	2	""	2	3	"Everything worked well"	""	"There were issues with the sound"	""	"I got flustered for a couple."	"The very first test word \"\"cards\"\" was difficult to hear through my laptop speakers, but then I connected an external speaker and that worked fine."	""	"210725_a98"	"96H"	327.151840414725	"Adults"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	50	"2"	31.75	"Male"	"Version4"
"210725_c124"	15410143	296.346069358787	25.3147974289774	1	"unsure_overlap with alice"	"119H"	"splash"	"aNM"	"vNM"	"H"	"c"	"aNMvNM"	2.46700772799723	2.17066165863844	2.44169293056825	2	"15410143_119HaNMvNM"	"119H_aNM_vNM.mp4"	7	"Version1"	"https://gorilla.sc/uploads/schedule/15410143?filename=119HaNMvNMmp4-74-2.weba"	"Block1"	4	61	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv"	76	3	9	"Windows 10"	"Chrome 92.0.4515.159"	"Version1"	9	3	"Male"	"English"	"Born and raised in the UK"	""	"No"	2	2	""	2	3	""	"There were issues with the videos"	""	""	""	"slow to load videos and had to refresh a few times. it has taken us 25hours to upload all our results at the end too !"	"instructions were all really clear and easily understood, thank you"	"210725_c124"	"119H"	25.3147974289774	"Children"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	61	"3"	9.25	"Male"	"Version1"
"210725_c133"	15185742	911.331703386391	870.472576402281	1	"pre-nasalisation"	"57H"	"glue"	"aM"	"vNM"	"H"	"c"	"aMvNM"	3.11857217145632	2.20724046806993	2.24809959505404	2	"15185742_57HaMvNM"	"57H_aM_vNM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/15185742?filename=57HaMvNMmp4-78-2.weba"	"Block1"	1	65	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv"	76	3	9	"Windows 10"	"Edge 92.0.902.73"	"Version2"	12	4	"Female"	"English"	"Born and raised in the UK"	""	"Yes sometimes"	2	1	"It can be hard to hear when the speaker is wearing a mask"	2	4	"Everything worked well"	""	""	""	""	"The videos occasionally were laggy."	"No"	"210725_c133"	"57H"	870.472576402281	"Children"	"aM"	"vNM"	"H"	"Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aMvNM"	65	"3"	12.3333333333333	"Female"	"Version2"
"210725_c133"	15185742	553.773982303536	470.959597382946	1	"pre-nasalisation"	"59L"	"gown"	"aNM"	"vM"	"L"	"c"	"aNMvM"	2.8593185329126	2.30554455060906	2.38835893552965	2	"15185742_59LaNMvM"	"59L_aNM_vM.mp4"	7	"Version2"	"https://gorilla.sc/uploads/schedule/15185742?filename=59LaNMvMmp4-116-2.weba"	"Block1"	4	101	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv"	106	4	9	"Windows 10"	"Edge 92.0.902.73"	"Version2"	12	4	"Female"	"English"	"Born and raised in the UK"	""	"Yes sometimes"	2	1	"It can be hard to hear when the speaker is wearing a mask"	2	4	"Everything worked well"	""	""	""	""	"The videos occasionally were laggy."	"No"	"210725_c133"	"59L"	470.959597382946	"Children"	"aNM"	"vM"	"L"	"No Acoustic Mask"	"Visual Mask"	"Low Predictability"	"1"	"aNMvM"	101	"4"	12.3333333333333	"Female"	"Version2"
"210725_c96"	14886549	755.968212204004	499.988442088994	1	"discard_echo in response"	"109L"	"sand"	"aNM"	"vM"	"L"	"c"	"aNMvM"	2.88647283475082	2.13050462254682	2.38648439266183	2	"14886549_109LaNMvM"	"109L_aNM_vM.mp4"	7	"Version1"	"https://gorilla.sc/uploads/schedule/14886549?filename=109LaNMvMmp4-123-2.weba"	"Block1"	4	108	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv"	106	4	9	"Mac OS 10.15.6"	"Safari 14.1.1"	"Version1"	13	0	"Male"	"English"	"Born and raised in the UK"	""	"No"	3	3	""	3	2	""	"There were issues with the videos"	""	""	""	"the video would not load it happened seven times"	""	"210725_c96"	"109L"	499.988442088994	"Children"	"aNM"	"vM"	"L"	"No Acoustic Mask"	"Visual Mask"	"Low Predictability"	"1"	"aNMvM"	108	"4"	13	"Male"	"Version1"
"210725_c96"	14886549	532.072146621019	422.001476686379	1	"pre-nasalisation"	"2H"	"barn"	"aM"	"vM"	"H"	"c"	"aMvM"	2.4785824168209	1.94651027019988	2.05658094013452	2	"14886549_2HaMvM"	"2H_aM_vM.mp4"	7	"Version1"	"https://gorilla.sc/uploads/schedule/14886549?filename=2HaMvMmp4-57-2.weba"	"Block1"	1	46	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv"	46	2	9	"Mac OS 10.15.6"	"Safari 14.1.1"	"Version1"	13	0	"Male"	"English"	"Born and raised in the UK"	""	"No"	3	3	""	3	2	""	"There were issues with the videos"	""	""	""	"the video would not load it happened seven times"	""	"210725_c96"	"2H"	422.001476686379	"Children"	"aM"	"vM"	"H"	"Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aMvM"	46	"2"	13	"Male"	"Version1"
"210725_c96"	14886549	855.57765992738	664.41327820695	1	"pre-nasalisation"	"36H"	"dart"	"aNM"	"vM"	"H"	"c"	"aNMvM"	3.02320560903442	2.16762794910704	2.35879233082747	2	"14886549_36HaNMvM"	"36H_aNM_vM.mp4"	7	"Version1"	"https://gorilla.sc/uploads/schedule/14886549?filename=36HaNMvMmp4-48-2.weba"	"Block1"	1	37	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv"	46	2	9	"Mac OS 10.15.6"	"Safari 14.1.1"	"Version1"	13	0	"Male"	"English"	"Born and raised in the UK"	""	"No"	3	3	""	3	2	""	"There were issues with the videos"	""	""	""	"the video would not load it happened seven times"	""	"210725_c96"	"36H"	664.41327820695	"Children"	"aNM"	"vM"	"H"	"No Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aNMvM"	37	"2"	13	"Male"	"Version1"
"210725_c96"	14886549	425.590479070597	264.973812403926	1	"pre-nasalisation"	"46H"	"drug"	"aNM"	"vM"	"H"	"c"	"aNMvM"	2.70730081898677	2.28171033991617	2.44232700658284	2	"14886549_46HaNMvM"	"46H_aNM_vM.mp4"	7	"Version1"	"https://gorilla.sc/uploads/schedule/14886549?filename=46HaNMvMmp4-89-2.weba"	"Block1"	3	76	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv"	76	3	9	"Mac OS 10.15.6"	"Safari 14.1.1"	"Version1"	13	0	"Male"	"English"	"Born and raised in the UK"	""	"No"	3	3	""	3	2	""	"There were issues with the videos"	""	""	""	"the video would not load it happened seven times"	""	"210725_c96"	"46H"	264.973812403926	"Children"	"aNM"	"vM"	"H"	"No Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aNMvM"	76	"3"	13	"Male"	"Version1"
"210818_c166"	15254546	1145.10319982181	986.296760427962	1	"rising intonation"	"105H"	"rim"	"aNM"	"vNM"	"H"	"c"	"aNMvNM"	3.42694899887223	2.28184579905042	2.44065223844427	2	"15254546_105HaNMvNM"	"105H_aNM_vNM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15254546?filename=105HaNMvNMmp4-93-2.weba"	"Block1"	4	80	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv"	76	3	9	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	8	8	"Male"	"English"	"Born and raised in the UK"	""	"No"	2	1	""	2	2	""	"There were issues with the videos"	""	""	""	"page needed refreshing about every 4 videos.  Speech with no mask was out of sink with video mouth movements."	"Child says it was fun :)"	"210818_c166"	"105H"	986.296760427962	"Children"	"aNM"	"vNM"	"H"	"No Acoustic Mask"	"No Visual Mask"	"High Predictability"	"1"	"aNMvNM"	80	"3"	8.66666666666667	"Male"	"Version4"
"210818_c166"	15254546	601.320568381662	448.884720154452	1	"pre-nasalisation"	"12L"	"bread"	"aNM"	"vM"	"L"	"c"	"aNMvM"	2.46896637986495	1.86764581148329	2.0200816597105	2	"15254546_12LaNMvM"	"12L_aNM_vM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15254546?filename=12LaNMvMmp4-116-2.weba"	"Block1"	3	101	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv"	106	4	9	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	8	8	"Male"	"English"	"Born and raised in the UK"	""	"No"	2	1	""	2	2	""	"There were issues with the videos"	""	""	""	"page needed refreshing about every 4 videos.  Speech with no mask was out of sink with video mouth movements."	"Child says it was fun :)"	"210818_c166"	"12L"	448.884720154452	"Children"	"aNM"	"vM"	"L"	"No Acoustic Mask"	"Visual Mask"	"Low Predictability"	"1"	"aNMvM"	101	"4"	8.66666666666667	"Male"	"Version4"
"210818_c166"	15254546	691.083605903753	504.396847010483	1	"ending slight cut off"	"37H"	"deck"	"aM"	"vM"	"H"	"c"	"aMvM"	2.26677298613647	1.57568938023272	1.76237613912599	2	"15254546_37HaMvM"	"37H_aM_vM.mp4"	7	"Version4"	"https://gorilla.sc/uploads/schedule/15254546?filename=37HaMvMmp4-66-2.weba"	"Block1"	2	55	"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv"	46	2	9	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	8	8	"Male"	"English"	"Born and raised in the UK"	""	"No"	2	1	""	2	2	""	"There were issues with the videos"	""	""	""	"page needed refreshing about every 4 videos.  Speech with no mask was out of sink with video mouth movements."	"Child says it was fun :)"	"210818_c166"	"37H"	504.396847010483	"Children"	"aM"	"vM"	"H"	"Acoustic Mask"	"Visual Mask"	"High Predictability"	"1"	"aMvM"	55	"2"	8.66666666666667	"Male"	"Version4"
