"parid","label","b","rstart","duration1"
"210723_a79time","14566634_63HaNMvM",591.128184688895,593.74679138322,2.61860669432474
"210725_a118time","14685140_64HaMvNM",565.419129005875,568.346329861111,2.92720085523592
"210725_a139time","14758059_7LaNMvM",690.241943208092,693.114398062255,2.87245485416292
"210725_a180time","15192698_43HaMvNM",330.765577694237,333.297129188144,2.53155149390778
"210725_a83time","14570364_120HaMvNM",134.584993521185,137.80397591,3.21898238881568
"210823_c177time","15326180_23HaMvM",296.26881730123,298.861594178655,2.59277687742537
"210823_c177time","15326180_61LaNMvNM",528.941642829419,531.425955620343,2.48431279092404
