Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1369,1627295450953,26/07/2021 10:30:50,1627295449670,1,26/07/2021 11:30:49,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,video1,content_video,804,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1370,1627295450953,26/07/2021 10:30:50,1627295449678,1,26/07/2021 11:30:49,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,video1,content_video,813,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1371,1627295451297,26/07/2021 10:30:51,1627295449976,1,26/07/2021 11:30:49,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,video1,content_video,1111,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1372,1627295451391,26/07/2021 10:30:51,1627295449978,1,26/07/2021 11:30:49,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,video1,content_video,922.646,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1373,1627295453934,26/07/2021 10:30:53,1627295452743,1,26/07/2021 11:30:52,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,video1,content_video,3877,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1374,1627295455626,26/07/2021 10:30:55,1627295454425,1,26/07/2021 11:30:54,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,Zone3,response_button_text,5551,,,Next,1,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1375,1627295455716,26/07/2021 10:30:55,1627295454461,1,26/07/2021 11:30:54,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1376,1627295455716,26/07/2021 10:30:55,1627295454471,1,26/07/2021 11:30:54,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,Zone2,audio_recording2,,,,58324-8-4294973-task-75wy-14579981-61LaMvMmp4-111-2.weba,,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1377,1627295455716,26/07/2021 10:30:55,1627295454471,1,26/07/2021 11:30:54,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,2,Screen 2,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14579981?filename=61LaMvMmp4-111-2.weba,,0,1,0,,,,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
1378,1627295457599,26/07/2021 10:30:57,1627295456412,1,26/07/2021 11:30:56,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,54,96,3,Screen 4,Zone1,timelimit_screen,1499.7600000000093,,,,,0,1,0,,,1,2,2,Block1,61L_aM_vM.mp4,,growl.jpg,1,growl,0,1,1,61,L_aM_vM,aM_vM,15
