Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
988,1628977735318,14/08/2021 21:48:55,1628977736238,1,14/08/2021 22:48:56,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,111,73,2,Screen 2,Zone2,audio_recording2,6851.20000000298,,,STOPPED RECORDING,,0,1,0,,,,4,4,Block1,25L_aNM_vNM.mp4,,coach.jpg,1,coach,0,0,0,25,L_aNM_vNM,aNM_vNM,21
989,1628977735318,14/08/2021 21:48:55,1628977736240,1,14/08/2021 22:48:56,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,111,73,2,Screen 2,Zone2,audio_recording2,6852.9000000059605,,,58324-9-4294945-task-b6hw-15145862-25LaNMvNMmp4-86-2.weba,,0,1,0,,,,4,4,Block1,25L_aNM_vNM.mp4,,coach.jpg,1,coach,0,0,0,25,L_aNM_vNM,aNM_vNM,21
990,1628977735318,14/08/2021 21:48:55,1628977736240,1,14/08/2021 22:48:56,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,111,73,2,Screen 2,Zone2,audio_recording2,6853.29999999702,,,https://gorilla.sc/uploads/schedule/15145862?filename=25LaNMvNMmp4-86-2.weba,,0,1,0,,,,4,4,Block1,25L_aNM_vNM.mp4,,coach.jpg,1,coach,0,0,0,25,L_aNM_vNM,aNM_vNM,21
991,1628977737236,14/08/2021 21:48:57,1628977738191,1,14/08/2021 22:48:58,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,111,73,3,Screen 4,Zone1,timelimit_screen,1499.6909999999916,,,,,0,1,0,,,1,4,4,Block1,25L_aNM_vNM.mp4,,coach.jpg,1,coach,0,0,0,25,L_aNM_vNM,aNM_vNM,21
992,1628977737474,14/08/2021 21:48:57,1628977738440,1,14/08/2021 22:48:58,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,1,Screen 1,Zone1,fixation,249.97100000001956,,,,,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
993,1628977737565,14/08/2021 21:48:57,1628977738477,1,14/08/2021 22:48:58,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,Zone2,audio_recording2,28,,,STARTED RECORDING,,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
994,1628977738550,14/08/2021 21:48:58,1628977739515,1,14/08/2021 22:48:59,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,video1,content_video,1066.5,,,VIDEO STARTED,1,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
995,1628977738721,14/08/2021 21:48:58,1628977739680,1,14/08/2021 22:48:59,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,video1,content_video,1231.3999999910593,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
996,1628977738975,14/08/2021 21:48:58,1628977739931,1,14/08/2021 22:48:59,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,video1,content_video,1482.3999999910593,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
997,1628977739053,14/08/2021 21:48:59,1628977739932,1,14/08/2021 22:48:59,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,video1,content_video,1297.3699999880791,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
998,1628977742019,14/08/2021 21:49:02,1628977742979,1,14/08/2021 22:49:02,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,video1,content_video,4529.899999991059,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
999,1628977743491,14/08/2021 21:49:03,1628977744453,1,14/08/2021 22:49:04,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,Zone3,response_button_text,5999.399999991059,,,Next,1,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
1000,1628977743554,14/08/2021 21:49:03,1628977744481,1,14/08/2021 22:49:04,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,Zone2,audio_recording2,6031.899999991059,,,STOPPED RECORDING,,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
1001,1628977743554,14/08/2021 21:49:03,1628977744482,1,14/08/2021 22:49:04,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,Zone2,audio_recording2,6033.5,,,58324-9-4294945-task-b6hw-15145862-109LaNMvMmp4-87-2.weba,,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
1002,1628977743554,14/08/2021 21:49:03,1628977744483,1,14/08/2021 22:49:04,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,2,Screen 2,Zone2,audio_recording2,6033.699999988079,,,https://gorilla.sc/uploads/schedule/15145862?filename=109LaNMvMmp4-87-2.weba,,0,1,0,,,,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
1003,1628977745470,14/08/2021 21:49:05,1628977746439,1,14/08/2021 22:49:06,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,129,74,3,Screen 4,Zone1,timelimit_screen,1499.609999999986,,,,,0,1,0,,,1,4,4,Block1,109L_aNM_vM.mp4,,sand.jpg,1,sand,0,0,1,109,L_aNM_vM,aNM_vM,21
1004,1628977745721,14/08/2021 21:49:05,1628977746688,1,14/08/2021 22:49:06,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,1,Screen 1,Zone1,fixation,249.97299999999814,,,,,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1005,1628977745782,14/08/2021 21:49:05,1628977746723,1,14/08/2021 22:49:06,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,Zone2,audio_recording2,26.899999991059303,,,STARTED RECORDING,,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1006,1628977746454,14/08/2021 21:49:06,1628977747415,1,14/08/2021 22:49:07,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,video1,content_video,718.7999999970198,,,VIDEO STARTED,1,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1007,1628977746566,14/08/2021 21:49:06,1628977747531,1,14/08/2021 22:49:07,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,video1,content_video,834.1999999880791,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1008,1628977746829,14/08/2021 21:49:06,1628977747785,1,14/08/2021 22:49:07,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,video1,content_video,1088.2999999970198,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1009,1628977746909,14/08/2021 21:49:06,1628977747787,1,14/08/2021 22:49:07,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,video1,content_video,902.9429999940396,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1010,1628977750334,14/08/2021 21:49:10,1628977751256,1,14/08/2021 22:49:11,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,video1,content_video,4559.699999988079,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1011,1628977751186,14/08/2021 21:49:11,1628977752113,1,14/08/2021 22:49:12,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,Zone3,response_button_text,5411.899999991059,,,Next,1,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1012,1628977751249,14/08/2021 21:49:11,1628977752142,1,14/08/2021 22:49:12,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,Zone2,audio_recording2,5445.5,,,STOPPED RECORDING,,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1013,1628977751249,14/08/2021 21:49:11,1628977752144,1,14/08/2021 22:49:12,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,Zone2,audio_recording2,5448,,,58324-9-4294945-task-b6hw-15145862-122LaMvNMmp4-88-2.weba,,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1014,1628977751249,14/08/2021 21:49:11,1628977752145,1,14/08/2021 22:49:12,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,2,Screen 2,Zone2,audio_recording2,5448.399999991059,,,https://gorilla.sc/uploads/schedule/15145862?filename=122LaMvNMmp4-88-2.weba,,0,1,0,,,,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
1015,1628977753153,14/08/2021 21:49:13,1628977754104,1,14/08/2021 22:49:14,58324,9,task-b6hw,,15145862,210719_a69,4294945,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1519x722,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version1,Version1,Version1,132,75,3,Screen 4,Zone1,timelimit_screen,1499.716000000015,,,,,0,1,0,,,1,4,4,Block1,122L_aM_vNM.mp4,,spoon.jpg,1,spoon,0,1,0,122,L_aM_vNM,aM_vNM,21
