Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
668,1627234713895,25/07/2021 17:38:33,1627234713788,1,25/07/2021 18:38:33,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,video1,content_video,1045,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
669,1627234713972,25/07/2021 17:38:33,1627234713790,1,25/07/2021 18:38:33,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,video1,content_video,864.8869999761581,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
670,1627234717848,25/07/2021 17:38:37,1627234717756,1,25/07/2021 18:38:37,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,video1,content_video,5013.300000011921,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
671,1627234717915,25/07/2021 17:38:37,1627234717778,1,25/07/2021 18:38:37,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,video1,content_video,5035.5,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
672,1627234718941,25/07/2021 17:38:38,1627234718840,1,25/07/2021 18:38:38,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,Zone3,response_button_text,6082.800000011921,,,Next,1,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
673,1627234719039,25/07/2021 17:38:39,1627234718930,1,25/07/2021 18:38:38,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
674,1627234719102,25/07/2021 17:38:39,1627234718936,1,25/07/2021 18:38:38,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,Zone2,audio_recording2,,,,58324-8-4334978-task-tmfe-14570364-15LaMvMmp4-56-2.weba,,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
675,1627234719102,25/07/2021 17:38:39,1627234718937,1,25/07/2021 18:38:38,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,2,Screen 2,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14570364?filename=15LaMvMmp4-56-2.weba,,0,1,0,,,,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
676,1627234720946,25/07/2021 17:38:40,1627234720825,1,25/07/2021 18:38:40,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,13,45,3,Screen 4,Zone1,timelimit_screen,1499.7289999999339,,,,,0,1,0,,,1,1,1,Block1,15L_aM_vM.mp4,,bruise.jpg,1,bruise,0,1,1,15,L_aM_vM,aM_vM,12
677,1627234721181,25/07/2021 17:38:41,1627234721074,1,25/07/2021 18:38:41,58324,8,task-tmfe,,14570364,210725_a83,4334978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1280x720,1280x577,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version7,Version7,Version7,18,46,1,Screen 1,Zone1,fixation,249.87400000006892,,,,,0,1,0,,,,1,1,Block1,36L_aNM_vM.mp4,,dart.jpg,1,dart,0,0,1,36,L_aNM_vM,aNM_vM,12
