parid,scheduleID,react1,react2,accuracy,note,number,correctans,audio,video,context,group,type,beep_response,length1,length2
210719_a25,14557507,697.6910775,308.1145425,1,,20L,chunks,aNM,vM,L,a,aNMvM,3.019134983,2.321443905,2.71102044
210719_a25,14557507,538.9168896,353.5409934,0,clark?,21H,clerk,aNM,vNM,H,a,aNMvNM,3.0781337,2.539216811,2.724592707
210719_a25,14557507,511.9430047,216.882588,1,,22L,cliff,aM,vNM,L,a,aMvNM,2.480189941,1.968246937,2.263307353
210719_a25,14557507,623.9699927,387.6431078,1,,23L,clock,aM,vM,L,a,aMvM,2.930356561,2.306386568,2.542713453
210719_a25,14557507,757.5297268,702.6112003,1,,24L,clue,aNM,vM,L,a,aNMvM,2.992367943,2.234838216,2.289756743
210719_a25,14557507,564.2146802,254.0959302,1,,25H,coach,aNM,vNM,H,a,aNMvNM,2.605006482,2.040791802,2.350910552
210719_a25,14557507,688.252408,396.8600469,1,,26L,coast,aM,vNM,L,a,aMvNM,3.026659224,2.338406816,2.629799177
210719_a25,14557507,532.6981812,396.7440145,1,,27L,coin,aM,vM,L,a,aMvM,2.885228668,2.352530487,2.488484654
210719_a25,14557507,638.1744148,288.9219638,1,,28L,cops,aNM,vM,L,a,aNMvM,3.016534845,2.37836043,2.727612881
210719_a25,14557507,667.0767067,375.5091223,1,,29H,crash,aNM,vNM,H,a,aNMvNM,2.830847656,2.163770949,2.455338534
210719_a25,14557507,380.5048234,274.7326731,1,,2H,barn,aNM,vM,H,a,aNMvM,2.303646003,1.92314118,2.02891333
210719_a25,14557507,502.312924,423.1477961,1,,30L,crew,aM,vNM,L,a,aMvNM,2.700194161,2.197881237,2.277046365
210719_a25,14557507,1167.956767,998.897087,1,,31L,crib,aM,vM,L,a,aMvM,3.612310546,2.444353778,2.613413459
210719_a25,14557507,602.8264649,404.0980496,1,,32L,crop,aNM,vM,L,a,aNMvM,2.947360385,2.34453392,2.543262336
210719_a25,14557507,432.8046421,345.8380472,1,,33H,crown,aNM,vNM,H,a,aNMvNM,2.284481066,1.851676424,1.938643019
210719_a25,14557507,406.0537938,264.8857026,1,,35H,curb,aNM,vM,H,a,aNMvM,2.845222469,2.439168675,2.580336766
210719_a25,14557507,432.1350501,214.3956613,1,,36H,dart,aM,vM,H,a,aMvM,2.62448664,2.19235159,2.410090979
210719_a25,14557507,630.3387716,377.9575216,1,,37L,deck,aNM,vNM,L,a,aNMvNM,3.009827989,2.379489218,2.631870468
210719_a25,14557507,651.9391846,524.6790836,1,,38H,den,aM,vNM,H,a,aMvNM,3.095030217,2.443091032,2.570351133
210719_a25,14557507,890.2930056,575.2175674,1,including pre-nasalisation,39H,dent,aNM,vM,H,a,aNMvM,2.670364553,1.780071547,2.095146985
210719_a25,14557507,326.4948891,246.9547105,1,,3H,bay,aM,vM,H,a,aMvM,2.299493531,1.972998642,2.052538821
210719_a25,14557507,603.5921138,288.8377954,1,,40H,ditch,aM,vM,H,a,aMvM,2.416690938,1.813098825,2.127853143
210719_a25,14557507,587.6558589,417.2636283,1,,41L,dive,aNM,vNM,L,a,aNMvNM,2.684315236,2.096659377,2.267051608
210719_a25,14557507,546.7001906,369.8008851,1,,42H,doll,aM,vNM,H,a,aMvNM,2.426984577,1.880284386,2.057183692
210719_a25,14557507,669.4737074,452.2776847,1,,43H,dove,aNM,vM,H,a,aNMvM,2.654458028,1.984984321,2.202180344
210719_a25,14557507,814.0815221,502.9090422,1,,44L,draft,aNM,vNM,L,a,aNMvNM,3.331451746,2.517370224,2.828542703
210719_a25,14557507,691.7203754,599.9577151,1,,45H,drain,aM,vNM,H,a,aMvNM,3.20033303,2.508612654,2.600375315
210719_a25,14557507,592.1735044,448.8193377,1,,46H,drug,aM,vM,H,a,aMvM,2.88070217,2.288528665,2.431882832
210719_a25,14557507,498.406149,376.2574355,1,,47L,drum,aNM,vNM,L,a,aNMvNM,2.476840801,1.978434652,2.100583366
210719_a25,14557507,813.2532797,514.8023538,1,,48L,feast,aNM,vM,L,a,aNMvM,2.544273176,1.731019897,2.029470823
210719_a25,14557507,711.0213682,525.5177273,1,,4L,beak,aNM,vNM,L,a,aNMvNM,2.914446099,2.20342473,2.388928371
210719_a25,14557507,398.0875323,302.8905271,1,,50H,flame,aM,vNM,H,a,aMvNM,2.468276425,2.070188892,2.165385898
210719_a25,14557507,469.5336814,255.5869999,1,,51H,flock,aNM,vM,H,a,aNMvM,2.560946147,2.091412466,2.305359147
210719_a25,14557507,639.5999551,457.3134968,1,,52H,flood,aM,vNM,H,a,aMvNM,2.703157579,2.063557624,2.245844082
210719_a25,14557507,667.4090875,347.7579989,1,,53H,frogs,aM,vM,H,a,aMvM,2.375284307,1.707875219,2.027526308
210719_a25,14557507,558.8090934,173.9941967,1,,54H,fudge,aNM,vNM,H,a,aNMvNM,2.718542808,2.159733715,2.544548612
210719_a25,14557507,497.8895357,462.5897672,1,,55H,fur,aNM,vNM,H,a,aNMvNM,2.901002003,2.403112467,2.438412236
210719_a25,14557507,660.3751191,572.341087,1,,57L,glue,aNM,vNM,L,a,aNMvNM,2.805890882,2.145515763,2.233549795
210719_a25,14557507,366.6857878,211.9324353,1,,58H,goal,aM,vNM,H,a,aMvNM,2.470185409,2.103499621,2.258252974
210719_a25,14557507,582.7069757,499.987805,1,,59L,gown,aM,vNM,L,a,aMvNM,2.862133855,2.279426879,2.36214605
210719_a25,14557507,609.5634761,465.0953213,1,,5H,beam,aM,vNM,H,a,aMvNM,2.895783935,2.286220459,2.430688614
210719_a25,14557507,728.3246521,591.463107,1,,60L,grin,aM,vM,L,a,aMvM,2.981460304,2.253135652,2.389997197
210719_a25,14557507,478.4354076,360.5621731,1,,61L,growl,aNM,vM,L,a,aNMvM,2.412047724,1.933612316,2.051485551
210719_a25,14557507,384.4132666,310.7520111,1,,62H,hay,aNM,vNM,H,a,aNMvNM,2.484350697,2.09993743,2.173598686
210719_a25,14557507,672.3515561,366.7379648,1,,63L,hedge,aM,vNM,L,a,aMvNM,2.80526696,2.132915404,2.438528995
210719_a25,14557507,491.0682608,323.9265876,1,,64L,hen,aM,vM,L,a,aMvM,2.617912359,2.126844098,2.293985771
210719_a25,14557507,643.0958773,508.8147643,1,,65L,herd,aNM,vM,L,a,aNMvM,2.62599983,1.982903952,2.117185065
210719_a25,14557507,547.9969224,197.3482481,1,,66H,hint,aNM,vNM,H,a,aNMvNM,2.813510938,2.265514016,2.61616269
210719_a25,14557507,528.6764796,261.6868056,1,,67L,hips,aM,vNM,L,a,aMvNM,2.708299403,2.179622924,2.446612597
210719_a25,14557507,478.2068282,329.576233,1,,68L,hive,aM,vM,L,a,aMvM,2.548723278,2.07051645,2.219147045
210719_a25,14557507,509.8871749,213.2649678,1,,69L,host,aNM,vM,L,a,aNMvM,2.897685545,2.38779837,2.684420577
210719_a25,14557507,633.45617,423.2633489,1,,70H,hug,aNM,vNM,H,a,aNMvNM,2.591693335,1.958237165,2.168429986
210719_a25,14557507,485.6627571,401.754528,1,,71L,jar,aM,vNM,L,a,aMvNM,2.752171359,2.266508601,2.350416831
210719_a25,14557507,658.7050189,388.3766226,1,,72L,juice,aM,vM,L,a,aMvM,2.813050744,2.154345725,2.424674122
210719_a25,14557507,536.5409377,204.2506104,1,,73L,junk,aNM,vM,L,a,aNMvM,2.632454952,2.095914014,2.428204341
210719_a25,14557507,503.2103913,274.3903122,1,,74H,kick,aNM,vNM,H,a,aNMvNM,2.883211698,2.380001306,2.608821385
210719_a25,14557507,487.0962524,208.3848603,1,,75H,knife,aNM,vM,H,a,aNMvM,2.622573824,2.135477572,2.414188964
210719_a25,14557507,615.5318734,465.8415597,1,,76H,knob,aM,vM,H,a,aMvM,2.617220955,2.001689081,2.151379395
210719_a25,14557507,511.8645943,293.7155781,1,,78L,lap,aNM,vNM,L,a,aNMvNM,2.662814498,2.150949904,2.36909892
210719_a25,14557507,377.9048966,234.2489032,1,,79H,lid,aM,vNM,H,a,aMvNM,2.403807326,2.025902429,2.169558423
210719_a25,14557507,545.9910501,257.18181,1,,7H,bend,aNM,vM,H,a,aNMvM,2.505286873,1.959295823,2.248105063
210719_a25,14557507,490.1651889,275.0251913,1,,80H,lock,aNM,vM,H,a,aNMvM,2.619559535,2.129394346,2.344534344
210719_a25,14557507,478.186716,184.6234396,1,,81H,logs,aM,vM,H,a,aMvM,2.655615299,2.177428583,2.470991859
210719_a25,14557507,622.8281382,273.9353141,1,,82L,lungs,aNM,vNM,L,a,aNMvNM,3.326639843,2.703811705,3.052704529
210719_a25,14557507,420.1366148,210.5352162,1,,83H,map,aM,vNM,H,a,aMvNM,2.818053737,2.397917122,2.60751852
210719_a25,14557507,433.1884707,169.5827064,1,,85H,mat,aNM,vM,H,a,aNMvM,2.669557482,2.236369011,2.499974776
