label	start_time
14930256_100LaNMvM	-0
14930256_101LaMvM	1.8775416666666667
14930256_102LaNMvM	3.8252916666666668
14930256_103LaMvNM	5.878354166666666
14930256_104LaMvM	7.857645833333333
14930256_105LaNMvM	9.921395833333333
14930256_107HaNMvNM	11.900791666666667
14930256_108LaMvNM	14.238166666666666
14930256_109LaMvM	16.091124999999998
14930256_10HaMvNM	17.986291666666666
14930256_110LaNMvM	19.976145833333334
14930256_111HaNMvNM	22.090083333333332
14930256_112HaNMvM	24.732854166666666
14930256_113HaMvM	26.554229166666666
14930256_115HaMvNM	28.43875
14930256_116HaNMvM	30.32333333333333
14930256_117HaMvM	32.407979166666664
14930256_118LaNMvNM	34.576874999999994
14930256_119HaMvNM	36.60885416666666
14930256_120HaNMvM	38.68306249999999
14930256_121HaMvM	40.80991666666666
14930256_122LaNMvNM	42.89456249999999
14930256_123HaMvNM	45.22191666666666
14930256_124HaNMvM	47.33818749999999
14930256_126HaMvM	49.73889583333332
14930256_127LaNMvNM	51.68664583333332
14930256_128HaMvNM	54.17137499999999
14930256_129LaMvNM	56.052854166666656
14930256_12HaNMvM	58.07433333333332
14930256_130LaMvM	60.14135416666665
14930256_131LaNMvM	62.162645833333315
14930256_132HaNMvNM	63.93885416666665
14930256_133LaMvNM	65.93927083333332
14930256_134LaMvM	68.27462499999999
14930256_136LaNMvM	70.16970833333332
14930256_137HaNMvNM	72.20170833333331
14930256_138LaMvNM	74.48643749999998
14930256_139LaMvM	76.17093749999998
14930256_13HaMvM	78.00279166666665
14930256_140LaNMvM	79.99268749999999
14930256_141HaNMvNM	81.99331249999999
14930256_14HaMvM	84.17277083333332
14930256_15LaNMvNM	85.96341666666665
14930256_16HaMvNM	87.97435416666664
14930256_17LaMvNM	89.98518749999998
14930256_19LaMvM	91.80068749999998
14930256_21HaNMvNM	94.14877083333332
14930256_22LaMvNM	96.13858333333332
14930256_23LaMvM	98.38122916666664
14930256_24LaNMvM	100.39235416666665
14930256_25HaNMvNM	102.48131249999999
14930256_26LaMvNM	104.95633333333332
14930256_27LaMvM	107.07258333333331
14930256_28LaNMvM	109.04854166666665
14930256_29HaNMvNM	111.29258333333331
14930256_2HaNMvM	113.34360416666665
14930256_30LaMvNM	115.60912499999998
14930256_31LaMvM	117.70308333333331
14930256_32LaNMvM	119.83987499999998
14930256_35HaNMvM	122.01947916666664
14930256_36HaMvM	124.17772916666664
14930256_38HaMvNM	126.20743749999997
14930256_39HaNMvM	128.49441666666664
14930256_3HaMvM	130.6955833333333
14930256_40HaMvM	132.68216666666663
14930256_41LaNMvNM	135.52681249999998
14930256_42HaMvNM	137.51347916666666
14930256_44LaNMvNM	139.5216458333333
14930256_45HaMvNM	142.15179166666664
14930256_46HaMvM	144.61037499999998
14930256_47LaNMvNM	146.66293749999997
14930256_48LaNMvM	148.64962499999996
14930256_4LaNMvNM	150.85077083333329
14930256_50HaMvNM	153.03047916666662
14930256_51HaNMvM	155.06002083333328
14930256_52HaMvNM	157.17154166666663
14930256_53HaMvM	159.2653958333333
14930256_54HaNMvNM	161.46654166666661
14930256_55HaNMvNM	163.60331249999996
14930256_57LaNMvNM	165.41837499999997
14930256_59LaMvNM	167.53393749999998
14930256_5HaMvNM	169.75656249999997
14930256_60LaMvM	171.82902083333332
14930256_62HaNMvNM	173.88972916666665
14930256_63LaMvNM	176.2186458333333
14930256_64LaMvM	179.20874999999998
14930256_65LaNMvM	181.5923333333333
14930256_66HaNMvNM	183.76091666666665
14930256_68LaMvM	185.82231249999998
14930256_69LaNMvM	187.94802083333332
14930256_70HaNMvNM	189.89568749999998
14930256_71LaMvNM	191.8198958333333
14930256_72LaMvM	194.2629583333333
14930256_73LaNMvM	197.42535416666664
14930256_74HaNMvNM	199.5625833333333
14930256_75HaNMvM	201.38691666666662
14930256_76HaMvM	203.48606249999995
14930256_79HaMvNM	205.44793749999994
14930256_80HaNMvM	207.78433333333328
14930256_82LaNMvNM	209.83337499999993
14930256_83HaMvNM	212.0199166666666
14930256_86HaMvM	214.54368749999995
14930256_87LaNMvNM	216.5428958333333
14930256_88HaMvNM	218.84185416666662
14930256_89HaNMvM	221.31574999999995
14930256_8HaMvM	224.2392083333333
14930256_90HaMvM	226.41327083333329
14930256_91LaNMvNM	228.53737499999994
14930256_93HaMvNM	230.8113541666666
14930256_95LaMvM	233.23518749999994
14930256_96LaNMvM	235.18443749999994
14930256_97HaNMvNM	237.38337499999994
14930256_98LaMvNM	239.33256249999994
14930256_99LaMvM	242.0311041666666
14930256_9LaNMvNM	243.6805833333333
