label	start_time
15036602_100LaMvM	-0
15036602_101LaMvM	5.015510204081632
15036602_102LaNMvM	11.052698412698412
15036602_103LaNMvNM	17.647165532879818
15036602_104HaMvNM	23.591473922902495
15036602_105LaMvM	29.350022675736962
15036602_107LaNMvM	34.82993197278912
15036602_108LaNMvNM	40.03120181405896
15036602_109HaMvNM	45.32535147392291
15036602_10HaMvM	53.22013605442177
15036602_110LaMvM	59.16444444444445
15036602_111LaNMvM	64.36571428571429
15036602_112LaMvNM	69.38122448979593
15036602_113HaNMvNM	74.67537414965987
15036602_114HaNMvM	80.43392290249434
15036602_115HaMvM	86.0067120181406
15036602_116LaMvNM	91.95102040816327
15036602_117HaNMvNM	97.98820861678006
15036602_118HaNMvM	104.39691609977325
15036602_119HaMvM	110.34122448979592
15036602_120LaMvNM	115.91401360544218
15036602_121HaNMvNM	121.48680272108844
15036602_122HaNMvM	127.24535147392291
15036602_123HaMvM	132.63238095238097
15036602_124LaMvNM	137.9265306122449
15036602_126HaNMvNM	143.22068027210884
15036602_127HaNMvM	148.7934693877551
15036602_128HaMvM	154.83065759637188
15036602_129LaNMvNM	160.31056689342404
15036602_12LaMvNM	165.6975963718821
15036602_130HaMvNM	172.1063038548753
15036602_131LaMvM	177.30757369614514
15036602_132LaNMvM	182.9732426303855
15036602_133LaNMvNM	188.45315192743766
15036602_134HaMvNM	193.84018140589572
15036602_136LaMvM	199.50585034013608
15036602_137LaNMvM	204.98575963718824
15036602_138LaNMvNM	210.93006802721092
15036602_139HaMvNM	215.85269841269846
15036602_13HaMvM	221.88988662131524
15036602_140LaMvM	228.20571428571432
15036602_141LaNMvM	235.45034013605445
15036602_14HaNMvNM	242.50920634920638
15036602_15HaNMvM	247.43183673469392
15036602_16HaMvM	253.747664399093
15036602_17LaNMvNM	260.89941043083905
15036602_19HaMvNM	266.84371882086174
15036602_20LaMvM	273.71682539682547
15036602_21LaNMvM	280.21841269841275
15036602_22LaNMvNM	286.9986394557824
15036602_23HaMvNM	293.22158730158736
15036602_24LaMvM	298.5157369614513
15036602_25LaNMvM	304.7386848072563
15036602_26LaNMvNM	311.4260317460318
15036602_27HaMvNM	317.7418594104309
15036602_28LaMvM	323.8719274376418
15036602_29LaNMvM	331.1165532879819
15036602_2LaMvNM	338.9184580498867
15036602_30LaNMvNM	349.50675736961455
15036602_31HaMvNM	355.63682539682543
15036602_32LaMvM	360.28081632653067
15036602_33LaNMvM	366.31800453514745
15036602_35LaMvNM	371.8907936507937
15036602_36HaNMvNM	377.2778231292517
15036602_37HaNMvM	383.3150113378685
15036602_38HaMvM	388.33052154195013
15036602_39LaMvNM	394.92498866213157
15036602_3HaNMvNM	400.96217687074835
15036602_40HaNMvNM	406.3492063492064
15036602_41HaNMvM	411.5504761904762
15036602_42HaMvM	416.84462585034015
15036602_43LaMvNM	422.4174149659864
15036602_44LaNMvNM	427.432925170068
15036602_45HaMvNM	434.30603174603175
15036602_46HaNMvNM	441.2720181405896
15036602_47HaNMvM	446.93768707482997
15036602_48LaNMvM	452.97487528344675
15036602_4HaNMvM	458.1761451247166
15036602_50HaMvM	463.7489342403628
15036602_51LaMvNM	470.43628117913835
15036602_52HaMvNM	476.56634920634923
15036602_53HaNMvNM	482.603537414966
15036602_54LaNMvM	487.71192743764175
15036602_55HaNMvNM	493.74911564625853
15036602_57HaNMvM	499.507664399093
15036602_58HaMvM	505.08045351473925
15036602_59LaNMvNM	510.6532426303855
15036602_5HaMvM	516.3189115646259
15036602_60HaMvNM	522.2632199546485
15036602_61LaMvM	528.3004081632653
15036602_62LaNMvM	533.408798185941
15036602_63LaNMvNM	538.7958276643991
15036602_64HaMvNM	544.5543764172336
15036602_65LaMvM	550.2200453514739
15036602_66LaNMvM	554.8640362811791
15036602_67LaNMvNM	560.3439455782312
15036602_68HaMvNM	566.5668934240363
15036602_69LaMvM	572.2325623582766
15036602_70LaNMvM	578.5483900226757
15036602_71LaNMvNM	584.3998185941042
15036602_72HaMvNM	589.6939682539681
15036602_73LaMvM	595.4525170068026
15036602_74LaNMvM	601.8612244897959
15036602_75LaMvNM	607.6197732426303
15036602_76HaNMvNM	613.4712018140589
15036602_78HaNMvM	618.858231292517
15036602_79HaMvM	624.5239002267573
15036602_7LaMvNM	631.0254875283446
15036602_80LaMvNM	636.5053968253967
15036602_81HaNMvNM	641.7066666666666
15036602_82HaNMvM	647.6509750566893
15036602_83HaMvM	654.7098412698411
15036602_85LaMvNM	661.4900680272108
15036602_86HaNMvNM	667.5272562358275
15036602_87HaNMvM	672.1712471655327
15036602_88HaMvM	677.2796371882084
15036602_89LaMvNM	682.9453061224488
15036602_8HaNMvNM	689.446893424036
15036602_90HaNMvNM	696.5057596371879
15036602_91HaNMvM	703.1931065759634
15036602_93HaMvM	707.7442176870745
15036602_94LaNMvNM	714.9888435374147
15036602_95HaMvNM	720.654512471655
15036602_96LaMvM	727.0632199546483
15036602_97LaNMvM	733.1932879818592
15036602_98LaNMvNM	738.9518367346936
15036602_99HaMvNM	744.5246258503399
15036602_9HaNMvM	749.7258956916098
