label	start_time
14742950_100HaNMvM	-0
14742950_101LaMvM	5.376
14742950_102LaNMvM	13.141333333333334
14742950_103HaNMvNM	18.858666666666668
14742950_104LaMvNM	29.44
14742950_105HaNMvM	36.266666666666666
14742950_107HaMvM	41.81333333333333
14742950_108HaNMvNM	53.84533333333333
14742950_109LaMvNM	59.818666666666665
14742950_10LaNMvNM	65.87733333333333
14742950_110HaNMvM	73.984
14742950_111HaMvM	82.85866666666666
14742950_112HaMvNM	89.51466666666667
14742950_113LaNMvM	94.976
14742950_114LaMvM	102.912
14742950_115LaNMvNM	109.14133333333334
14742950_116HaMvNM	114.00533333333334
14742950_117LaNMvM	125.09866666666667
14742950_118LaMvM	130.048
14742950_119LaNMvNM	146.09066666666666
14742950_120HaMvNM	154.45333333333332
14742950_121LaNMvM	159.40266666666665
14742950_122LaMvM	167.42399999999998
14742950_123LaNMvNM	176.128
14742950_124HaMvNM	184.576
14742950_126LaNMvM	200.61866666666666
14742950_127LaMvM	206.6773333333333
14742950_128LaNMvNM	211.62666666666664
14742950_129HaNMvNM	215.80799999999996
14742950_12HaMvNM	225.02399999999997
14742950_130LaMvNM	231.2533333333333
14742950_131HaNMvM	236.71466666666663
14742950_132HaMvM	241.2373333333333
14742950_133HaNMvNM	247.03999999999996
14742950_134LaMvNM	254.89066666666662
14742950_136HaNMvM	259.9253333333333
14742950_137HaMvM	265.1306666666666
14742950_138HaNMvNM	271.1893333333333
14742950_139LaMvNM	277.0773333333333
14742950_13HaMvM	285.61066666666665
14742950_140HaNMvM	295.936
14742950_141HaMvM	303.104
14742950_14LaNMvM	309.07733333333334
14742950_15LaMvM	317.26933333333335
14742950_16LaNMvNM	324.2666666666667
14742950_17HaNMvNM	330.1546666666667
14742950_19LaMvNM	336.64000000000004
14742950_20HaNMvM	342.528
14742950_21HaMvM	348.5866666666667
14742950_22HaNMvNM	355.4986666666667
14742950_23LaMvNM	364.45866666666666
14742950_24HaNMvM	369.57866666666666
14742950_25HaMvM	375.552
14742950_26HaNMvNM	383.31733333333335
14742950_27LaMvNM	388.5226666666667
14742950_28HaNMvM	399.53066666666666
14742950_29HaMvM	406.016
14742950_2HaMvNM	411.9893333333334
14742950_30HaNMvNM	418.56000000000006
14742950_31LaMvNM	422.65600000000006
14742950_32HaNMvM	428.03200000000004
14742950_33HaMvM	435.79733333333337
14742950_35HaMvNM	440.064
14742950_36LaNMvM	447.82933333333335
14742950_37LaMvM	454.3146666666667
14742950_38LaNMvNM	462.4213333333334
14742950_39HaMvNM	470.3573333333334
14742950_3LaNMvM	487.42400000000004
14742950_40LaNMvM	492.8853333333334
14742950_41LaMvM	507.39200000000005
14742950_42LaNMvNM	519.0826666666667
14742950_43HaMvNM	527.5306666666667
14742950_44LaNMvNM	532.3946666666667
14742950_45HaMvNM	538.7093333333333
14742950_46LaNMvM	546.048
14742950_47LaMvM	551.424
14742950_48LaNMvM	562.0053333333333
14742950_4LaMvM	567.808
14742950_50LaNMvNM	573.5253333333334
14742950_51HaMvNM	588.8853333333334
14742950_52HaMvNM	593.8346666666667
14742950_53LaNMvM	598.6133333333335
14742950_54HaMvM	605.0986666666668
14742950_55HaNMvNM	613.0346666666668
14742950_57LaMvM	621.3120000000001
14742950_58LaNMvNM	628.7360000000001
14742950_59HaNMvNM	637.7813333333335
14742950_5LaNMvNM	642.4746666666668
14742950_60LaMvNM	651.5200000000002
14742950_61HaNMvM	657.2373333333336
14742950_62HaMvM	662.3573333333336
14742950_63HaNMvNM	667.5626666666669
14742950_64LaMvNM	678.7413333333336
14742950_65HaNMvM	687.018666666667
14742950_66HaMvM	694.4426666666669
14742950_67HaNMvNM	699.3920000000003
14742950_68LaMvNM	704.7680000000003
14742950_69HaNMvM	709.0346666666669
14742950_70HaMvM	714.7520000000003
14742950_71HaNMvNM	727.8933333333337
14742950_72LaMvNM	733.866666666667
14742950_73HaNMvM	740.010666666667
14742950_74HaMvM	745.3013333333337
14742950_75HaMvNM	752.7253333333337
14742950_76LaNMvM	760.0640000000003
14742950_78LaMvM	789.8453333333337
14742950_79LaNMvNM	796.1600000000003
14742950_7HaMvNM	801.1093333333337
14742950_80HaMvNM	806.314666666667
14742950_81LaNMvM	826.6240000000004
14742950_82LaMvM	834.4746666666671
14742950_83LaNMvNM	841.0453333333337
14742950_85HaMvNM	870.9120000000004
14742950_86LaNMvM	876.2880000000004
14742950_87LaMvM	881.578666666667
14742950_88LaNMvNM	886.5280000000004
14742950_89HaMvNM	892.586666666667
14742950_8LaNMvM	912.0426666666671
14742950_90LaNMvM	922.1973333333337
14742950_91LaMvM	929.6213333333337
14742950_93LaNMvNM	936.5333333333338
14742950_94HaNMvNM	941.9093333333337
14742950_95LaMvNM	951.9786666666671
14742950_96HaNMvM	958.8053333333338
14742950_97HaMvM	964.6933333333338
14742950_98HaNMvNM	969.8986666666672
14742950_99LaMvNM	978.0053333333339
14742950_9LaMvM	982.3573333333338
