Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1263,1627135995184,24/07/2021 14:13:15,1627135996068,1,24/07/2021 15:13:16,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,2,Screen 2,video1,content_video,9418,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1264,1627135998666,24/07/2021 14:13:18,1627135999618,1,24/07/2021 15:13:19,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,2,Screen 2,video1,content_video,12968.700000047684,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1265,1627136000341,24/07/2021 14:13:20,1627136001284,1,24/07/2021 15:13:21,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,2,Screen 2,Zone3,response_button_text,14623.800000011921,,,Next,1,0,1,0,,,,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1266,1627136000410,24/07/2021 14:13:20,1627136001334,1,24/07/2021 15:13:21,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,2,Screen 2,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1267,1627136000410,24/07/2021 14:13:20,1627136001335,1,24/07/2021 15:13:21,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,2,Screen 2,Zone2,audio_recording2,,,,58325-5-4294902-task-6srq-14557278-60HaMvMmp4-111-2.weba,,0,1,0,,,,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1268,1627136000410,24/07/2021 14:13:20,1627136001335,1,24/07/2021 15:13:21,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,2,Screen 2,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14557278?filename=60HaMvMmp4-111-2.weba,,0,1,0,,,,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1269,1627136002320,24/07/2021 14:13:22,1627136003263,1,24/07/2021 15:13:23,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,22,96,3,Screen 4,Zone1,timelimit_screen,1500.3620000001974,,,,,0,1,0,,,1,1,1,Block1,60H_aM_vM.mp4,,grin.jpg,1,grin,1,1,1,60,H_aM_vM,aM_vM,12
1270,1627136002571,24/07/2021 14:13:22,1627136003512,1,24/07/2021 15:13:23,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,1,Screen 1,Zone1,fixation,249.7949999999255,,,,,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1271,1627136002617,24/07/2021 14:13:22,1627136003536,1,24/07/2021 15:13:23,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1272,1627136003150,24/07/2021 14:13:23,1627136004099,1,24/07/2021 15:13:24,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,video1,content_video,580.6000000238419,,,VIDEO STARTED,1,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1273,1627136003223,24/07/2021 14:13:23,1627136004142,1,24/07/2021 15:13:24,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,video1,content_video,623.5,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1274,1627136003446,24/07/2021 14:13:23,1627136004393,1,24/07/2021 15:13:24,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,video1,content_video,874.6000000238419,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1275,1627136003504,24/07/2021 14:13:23,1627136004394,1,24/07/2021 15:13:24,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,video1,content_video,689.5999999761582,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1276,1627136006383,24/07/2021 14:13:26,1627136007337,1,24/07/2021 15:13:27,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,video1,content_video,3819.199999988079,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1277,1627136007965,24/07/2021 14:13:27,1627136008904,1,24/07/2021 15:13:28,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,Zone3,response_button_text,5380.199999988079,,,Next,1,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1278,1627136008010,24/07/2021 14:13:28,1627136008933,1,24/07/2021 15:13:28,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1279,1627136008010,24/07/2021 14:13:28,1627136008938,1,24/07/2021 15:13:28,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,Zone2,audio_recording2,,,,58325-5-4294902-task-6srq-14557278-36LaMvNMmp4-112-2.weba,,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1280,1627136008010,24/07/2021 14:13:28,1627136008938,1,24/07/2021 15:13:28,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,2,Screen 2,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14557278?filename=36LaMvNMmp4-112-2.weba,,0,1,0,,,,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1281,1627136009949,24/07/2021 14:13:29,1627136010896,1,24/07/2021 15:13:30,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,18,97,3,Screen 4,Zone1,timelimit_screen,1500.0519999999087,,,,,0,1,0,,,1,1,1,Block1,36L_aM_vNM.mp4,,dart.jpg,1,dart,0,1,0,36,L_aM_vNM,aM_vNM,12
1282,1627136010188,24/07/2021 14:13:30,1627136011146,1,24/07/2021 15:13:31,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,1,Screen 1,Zone1,fixation,249.98400000017136,,,,,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1283,1627136010261,24/07/2021 14:13:30,1627136011170,1,24/07/2021 15:13:31,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1284,1627136010699,24/07/2021 14:13:30,1627136011643,1,24/07/2021 15:13:31,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,video1,content_video,492.30000001192093,,,VIDEO STARTED,1,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1285,1627136010762,24/07/2021 14:13:30,1627136011683,1,24/07/2021 15:13:31,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,video1,content_video,532.8000000119209,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1286,1627136010981,24/07/2021 14:13:30,1627136011933,1,24/07/2021 15:13:31,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,video1,content_video,783,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1287,1627136011063,24/07/2021 14:13:31,1627136011934,1,24/07/2021 15:13:31,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,video1,content_video,596.9520000238418,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1288,1627136015028,24/07/2021 14:13:35,1627136015978,1,24/07/2021 15:13:35,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,video1,content_video,4827.699999988079,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1289,1627136016313,24/07/2021 14:13:36,1627136017263,1,24/07/2021 15:13:37,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,Zone3,response_button_text,6106.300000011921,,,Next,1,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1290,1627136016360,24/07/2021 14:13:36,1627136017295,1,24/07/2021 15:13:37,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1291,1627136016360,24/07/2021 14:13:36,1627136017297,1,24/07/2021 15:13:37,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,Zone2,audio_recording2,,,,58325-5-4294902-task-6srq-14557278-15HaNMvNMmp4-113-2.weba,,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1292,1627136016360,24/07/2021 14:13:36,1627136017298,1,24/07/2021 15:13:37,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,2,Screen 2,Zone2,audio_recording2,,,,https://gorilla.sc/uploads/schedule/14557278?filename=15HaNMvNMmp4-113-2.weba,,0,1,0,,,,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1293,1627136018298,24/07/2021 14:13:38,1627136019247,1,24/07/2021 15:13:39,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,13,98,3,Screen 4,Zone1,timelimit_screen,1499.9899999999907,,,,,0,1,0,,,1,1,1,Block1,15H_aNM_vNM.mp4,,bruise.jpg,1,bruise,1,0,0,15,H_aNM_vNM,aNM_vNM,12
1294,1627136018552,24/07/2021 14:13:38,1627136019496,1,24/07/2021 15:13:39,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,24,99,1,Screen 1,Zone1,fixation,249.90100000007078,,,,,0,1,0,,,,1,1,Block1,70H_aM_vNM.mp4,,hug.jpg,1,hug,1,1,0,70,H_aM_vNM,aM_vNM,12
1295,1627136018599,24/07/2021 14:13:38,1627136019520,1,24/07/2021 15:13:39,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,24,99,2,Screen 2,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,1,1,Block1,70H_aM_vNM.mp4,,hug.jpg,1,hug,1,1,0,70,H_aM_vNM,aM_vNM,12
1296,1627136019396,24/07/2021 14:13:39,1627136020332,1,24/07/2021 15:13:40,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,24,99,2,Screen 2,video1,content_video,831.4000000357628,,,VIDEO STARTED,1,0,1,0,,,,1,1,Block1,70H_aM_vNM.mp4,,hug.jpg,1,hug,1,1,0,70,H_aM_vNM,aM_vNM,12
1297,1627136019568,24/07/2021 14:13:39,1627136020375,1,24/07/2021 15:13:40,58325,5,task-6srq,,14557278,210719_c47,4294902,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1536x864,1536x753,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version5,Version5,Version5,24,99,2,Screen 2,video1,content_video,874.1000000238419,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,1,1,Block1,70H_aM_vNM.mp4,,hug.jpg,1,hug,1,1,0,70,H_aM_vNM,aM_vNM,12
