label	sentence	time
b	14557507_37LaNMvNM	367.0590720446668
r	14557507_37LaNMvNM	370.05361458333334
b	14557507_38HaMvNM	373.27510602492475
r	14557507_38HaMvNM	376.3570833333334
b	14557507_39HaNMvM	382.2497914533873
r	14557507_39HaNMvM	384.9094062500001
b	14557507_3HaMvM	387.43638390381767
r	14557507_3HaMvM	389.7273333333333
b	14557507_40HaMvM	392.4033522280026
r	14557507_40HaMvM	394.8065625
b	14557507_41LaNMvNM	396.93316617137265
r	14557507_41LaNMvNM	399.6065625
b	14557507_42HaMvNM	401.8735576509202
r	14557507_42HaMvNM	404.21801041666663
b	14557507_43HaNMvM	406.3071635555921
r	14557507_43HaNMvM	408.8217916666666
b	14557507_44LaNMvNM	413.0430192543253
r	14557507_44LaNMvNM	416.36590625
b	14557507_45HaMvNM	421.60345680936587
r	14557507_45HaMvNM	424.79134375
b	14557507_46HaMvM	429.044811766029
r	14557507_46HaMvM	431.80729166666663
b	14557507_47LaNMvNM	434.4664627651726
r	14557507_47LaNMvNM	436.9297916666667
b	14557507_48LaNMvM	440.49211071397224
r	14557507_48LaNMvM	443.03920833333336
b	14557507_4LaNMvNM	446.7259101441658
r	14557507_4LaNMvNM	449.6308020833333
b	14557507_50HaMvNM	452.25040971502557
r	14557507_50HaMvNM	454.7361250000001
b	14557507_51HaNMvM	457.2091862268851
r	14557507_51HaNMvM	459.77803125
b	14557507_52HaMvNM	462.59736989140595
r	14557507_52HaMvNM	465.3049791666666
b	14557507_53HaMvM	470.5594647427128
r	14557507_53HaMvM	472.93803125
b	14557507_54HaNMvNM	475.854829059056
r	14557507_54HaNMvNM	478.5697708333333
b	14557507_55HaNMvNM	481.3954169730933
r	14557507_55HaNMvNM	484.32471875
b	14557507_57LaNMvNM	487.5453841280401
r	14557507_57LaNMvNM	490.3349791666667
b	14557507_58HaMvNM	492.3229231526799
r	14557507_58HaMvNM	494.78302083333335
b	14557507_59LaMvNM	497.11753743694436
r	14557507_59LaMvNM	499.89734374999995
b	14557507_5HaMvNM	502.2184223966205
r	14557507_5HaMvNM	505.1015
b	14557507_60LaMvM	507.83110170423964
r	14557507_60LaMvM	510.7922604166667
b	14557507_61LaNMvM	512.6889349463413
r	14557507_61LaNMvM	515.0924166666665
b	14557507_62HaNMvNM	518.2660202286918
r	14557507_62HaNMvNM	520.7579062499999
b	14557507_63LaMvNM	523.3350283217812
r	14557507_63LaMvNM	526.1360729166666
b	14557507_64LaMvM	529.4481817641698
r	14557507_64LaMvM	532.0780208333333
b	14557507_65LaNMvM	534.5716340898754
r	14557507_65LaNMvM	537.1969479166665
b	14557507_66HaNMvNM	539.9341756904919
r	14557507_66HaNMvNM	542.75321875
