label	sentence	time
b	61LaNMvNM	460.42328424671973
r	61LaNMvNM	462.63446875000005
b	62HaMvNM	465.18464551140875
r	62HaMvNM	467.35977083333336
b	63HaNMvM	470.11841099230634
r	63HaNMvM	472.71506250000004
b	64LaMvM	475.6230917849559
r	64LaMvM	478.10303125
b	65LaNMvNM	480.6291432677171
r	65LaNMvNM	482.7921770833333
b	66HaMvNM	485.70223815587855
r	66HaMvNM	488.27365625
b	67HaNMvM	490.748421010341
r	67HaNMvM	493.22779098520243
b	68LaMvM	495.71342141681544
r	68LaMvM	497.98928125
b	69LaNMvNM	500.3416052714477
r	69LaNMvNM	503.01293458850927
b	70HaMvNM	505.5344110741394
r	70HaMvNM	507.7244166666667
b	71HaNMvM	510.1240017695978
r	71HaNMvM	512.2717395833333
b	72LaMvM	515.2394864755605
r	72LaMvM	517.7690520833333
b	73LaNMvNM	519.8397153981631
r	73LaNMvNM	522.3778229166667
b	74HaMvNM	525.841749466059
r	74HaMvNM	528.5896250000001
b	75HaNMvM	530.7347922516507
r	75HaNMvM	533.0078473011364
b	76LaMvM	535.8868937279046
r	76LaMvM	538.1235173611111
b	78LaNMvNM	540.6224022143738
r	78LaNMvNM	543.06528125
b	79HaMvNM	545.8396051991925
r	79HaMvNM	547.9698908991228
b	7HaNMvM	551.3766691770229
r	7HaNMvM	553.6656458333333
b	80HaNMvM	556.1752045779022
r	80HaNMvM	558.5862083333334
b	81LaMvM	561.0476512077681
r	81LaMvM	563.4385833333333
b	82LaNMvNM	566.0233574448325
r	82LaNMvNM	569.0572243003439
b	83HaMvNM	571.3560108021994
r	83HaMvNM	573.8401979166666
b	85HaNMvM	577.0739060315972
r	85HaNMvM	579.5358357304742
b	86LaMvM	582.1832357885588
r	86LaMvM	584.921875
b	87LaNMvNM	587.9030443411242
r	87LaNMvNM	590.3080833333333
b	88HaMvNM	592.5668235479976
r	88HaMvNM	594.7894134237421
b	89HaNMvM	597.8091971442644
r	89HaNMvM	600.4654417691257
b	8LaMvM	602.6517434475459
r	8LaMvM	604.6935624999999
b	90LaMvM	606.9415578316061
r	90LaMvM	609.1589479166666
b	91LaNMvNM	611.5466409078285
r	91LaNMvNM	614.1112916666667
b	93HaMvNM	618.3081426831086
r	93HaMvNM	621.0460625
b	94HaNMvM	623.9310040284556
r	94HaNMvM	626.5577395833333
b	95LaMvM	628.8113379370524
r	95LaMvM	631.8361354166667
b	96LaNMvNM	634.5026690969901
r	96LaNMvNM	636.66753125
b	97HaMvNM	639.3502041755185
r	97HaMvNM	642.0271145833333
b	98HaNMvM	645.0684749310989
r	98HaNMvM	647.7633854166668
b	99LaMvM	650.87135431649
r	99LaMvM	652.8455520833334
b	9LaNMvNM	655.2955866789072
r	9LaNMvNM	657.5109791666666
