filename	num_of_intervals
210719_a08measure.TextGrid	128
210719_a09measure.TextGrid	128
210719_a25measure.TextGrid	128
210719_a40measure.TextGrid	128
210719_a41measure.TextGrid	128
210719_c08measure.TextGrid	128
210719_c12measure.TextGrid	128
210719_c26measure.TextGrid	128
210719_c27measure.TextGrid	128
210719_c29measure.TextGrid	128
210719_c47measure.TextGrid	128
210719_c51measure.TextGrid	128
210719_c53measure.TextGrid	128
210719_c66measure.TextGrid	128
210723_a76measure.TextGrid	128
210723_a78measure.TextGrid	128
210723_a79measure.TextGrid	128
210725_a120measure.TextGrid	128
210725_a130measure.TextGrid	128
210725_a132measure.TextGrid	128
210725_a133measure.TextGrid	128
210725_a138measure.TextGrid	128
210725_a139measure.TextGrid	128
210725_a147measure.TextGrid	128
210725_a152measure.TextGrid	128
210725_a156measure.TextGrid	126
210725_a165measure.TextGrid	128
210725_a176measure.TextGrid	128
210725_a177measure.TextGrid	128
210725_a185measure.TextGrid	128
210725_a81measure.TextGrid	128
210725_a84measure.TextGrid	128
210725_a90measure.TextGrid	128
210725_a96measure.TextGrid	128
210725_a98measure.TextGrid	128
210725_c122measure.TextGrid	128
210725_c124measure.TextGrid	128
210725_c125measure.TextGrid	128
210725_c128measure.TextGrid	128
210725_c130measure.TextGrid	128
210725_c133measure.TextGrid	128
210725_c135measure.TextGrid	128
210725_c141measure.TextGrid	128
210725_c76measure.TextGrid	128
210725_c81measure.TextGrid	128
210725_c84measure.TextGrid	128
210725_c86measure.TextGrid	128
210725_c94measure.TextGrid	128
210823_c177measure.TextGrid	128
210823_c179measure.TextGrid	128
210823_c180measure.TextGrid	128
